变量名,_beizhu,npc,gymID,hardDegree,weight,deployType,deployNatureLimit,deployCardNumLimit,deployNum,lastJump,historyJump,_beizhu1,weatherDesc,weatherDesc_tw,weatherDesc_en,weatherDesc_vn,weatherDesc_kr,weatherDesc_pt,weatherDesc_th,palce,palce_tw,palce_en,palce_vn,palce_kr,palce_ar,palce_de,palce_fr,palce_it,palce_pt,palce_ru,palce_th,placeDesc,placeDesc_tw,placeDesc_en,placeDesc_vn,placeDesc_kr,placeDesc_ar,placeDesc_de,placeDesc_fr,placeDesc_it,placeDesc_pt,placeDesc_ru,placeDesc_th,specialEff,specialEffDesc,specialEffDesc_tw,specialEffDesc_en,specialEffDesc_vn,specialEffDesc_kr,specialEffDesc_pt,specialEffDesc_th
80144,酋雷姆,,2,15,1,1,,,,13,12,12,,,,,,,,冰封场地：,冰封場地：,Frozen Ring:,,,حلقة مجمدة:,Gefrorener Ring:,Anneau gelé :,Anello congelato:,Anel Congelado:,Замороженное кольцо:,แหวนโฟรเซ่น:,酋雷姆开启冰封角斗场：\n选取攻击最高的目标为猎杀目标一对一决斗，\n并永久冰冻猎杀目标之外的全部目标，至死方休\n猎杀和永久冰冻无法免疫和驱散,酋雷姆開啟冰封角鬥場：\n選取攻擊最高的目標為獵殺目標一對一決鬥，\n並永久冰凍獵殺目標之外的全部目標，至死方休\n獵殺和永久冰凍無法免疫和驅散,"Kyurem open Frozen Ring: \n Select the highest ATK unit ad Hunting target, \n and permanent freeze all unit besides hunting target until dead\n Hunting and permanent Freeze can't be immune and dispell",,,يفتح Kyurem حلقة التجميد: \n حدد أعلى وحدة هجومية واصطياد الهدف، \n وقم بتجميد جميع الوحدات باستثناء هدف الصيد بشكل دائم حتى الموت\n لا يمكن أن يكون الصيد والتجميد الدائم محصنين ضدهما ويبددان,"Kyurem öffnet den Gefrorenen Ring: \n Wähle die Einheit mit dem höchsten ANG als Jagdziel, \n und friere alle Einheiten außer dem Jagdziel dauerhaft ein, bis sie tot sind\n Jagd und dauerhaftes Einfrieren können nicht immun sein und zerstreuen","Kyurem ouvre l'anneau gelé : \n Sélectionnez l'unité d'ATK la plus élevée et la cible de chasse, \n et gelez de manière permanente toutes les unités en plus de la cible de chasse jusqu'à ce qu'elles soient mortes. \n La chasse et le gel permanent ne peuvent pas être immunisés et dissipés.","Kyurem apre l'anello congelato: \n Seleziona l'unità con ATK più alto come bersaglio di caccia, \n e congela permanentemente tutte le unità tranne il bersaglio di caccia finché non muoiono\n La caccia e il congelamento permanente non possono essere immuni e dissipare","Kyurem abre o Anel Congelado: \n Selecione a unidade de maior ATK e o alvo de Caça, \n e congele permanentemente todas as unidades, exceto o alvo de Caça até a morte\n Caça e Congelamento permanente não podem ser imunes e dissipar","Кюрем открывает замороженное кольцо: \n Выберите отряд с самой высокой атакой и цель охоты, \n и навсегда заморозьте всех отрядов, кроме цели охоты, пока они не умрут\n Охота и постоянная заморозка не могут быть неуязвимы и развеяны",Kyurem เปิด Frozen Ring: \n เลือกหน่วย ATK สูงสุดและเป้าหมายการล่า \n และหยุดหน่วยทั้งหมดถาวร ยกเว้นเป้าหมายการล่าจนกว่าจะตาย \n การล่าและการหยุดถาวรไม่สามารถรับภูมิคุ้มกันและสลายได้,<<<6>;1;0;10%>>,\n最强之龙&冰封对决,\n最強之龍&冰封對決,Best Dragon&Frozen Battle,,,Melhor Batalha de Dragão e Congelado,สุดยอดการต่อสู้ระหว่างมังกรและน้ำแข็ง
80145,,,2,15,0,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80146,,,2,15,0,,,,,13,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80151,水冰馆主,TRUE,2,,100,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80201,草系送分,,3,21,1,1,,,,,,3,,,,404,,,,青草场地：,青草場地：,Grassy Terrain:,404,풀 그라운드: ,التضاريس العشبية:,Grasbewachsenes Gelände:,Terrain herbeux :,Terreno erboso:,Terreno gramado:,Травянистый ландшафт:,ภูมิประเทศเป็นหญ้า:,草系精灵每回合持续恢复一定生命值,草系精靈每回合持續恢復一定生命值,Grass type Pokémon recovers a certain amount of HP every round,404,풀 타입 포켓몬은 턴마다 지속적으로 일정한 HP를 회복한다,يستعيد البوكيمون من النوع العشبي قدرًا معينًا من نقاط الصحة في كل جولة,Pokémon vom Typ Pflanze regenerieren jede Runde eine bestimmte Menge an KP,Les Pokémon de type Plante récupèrent une certaine quantité de PV à chaque tour,I Pokémon di tipo Erba recuperano una certa quantità di PS ogni round,Pokémon do tipo grama recupera uma certa quantidade de HP a cada rodada,Покемон травяного типа восстанавливает определенное количество HP каждый раунд.,โปเกมอนประเภทหญ้าจะฟื้นฟู HP จำนวนหนึ่งทุกๆ รอบ,<<<4>;1;0;5%>>,,,,,,,
80202,飞行系送分,,3,21,1,1,,,,,,1,【乱流】（飞行系精灵速度提升，每个回合精灵有几率被【吹飞】，非飞行系精灵落地时会损失一定生命值）,【亂流】（飛行系精靈速度提升，每個回合精靈有幾率被【吹飛】，非飛行系精靈落地時會損失一定生命值）,"[Strong Winds] (Increase Speed of Flying type Pokémon. Each round, Pokémon have a chance to be [Blow off], and non-Flying type Pokémon will lose a certain amount of HP when landing)","[Strong Winds] (Increase Speed of Flying type Pokémon. Each round, Pokémon have a chance to be [Blow off], and non-Flying type Pokémon will lose a certain amount of HP when landing)","[난류] (비행 타입 포켓몬 스피드 증가, 턴마다 포켓몬이 일정 확률로 [날려버리기]를 맞으며 비행 타입 아닌 포켓몬이 착지 시 일정한 HP를 손실한다 )","[Ventos Fortes] (Aumenta a Velocidade de Pokémon do tipo Voador. A cada rodada, os Pokémon têm a chance de serem [Blow off], e os Pokémon do tipo não Voador perderão uma certa quantidade de HP ao pousar)",[ลมแรง] (เพิ่มความเร็วให้กับโปเกมอนประเภทบิน ในแต่ละรอบ โปเกมอนจะมีโอกาสถูก [พัดหลุด] และโปเกมอนที่ไม่ใช่ประเภทบินจะเสีย HP จำนวนหนึ่งเมื่อลงจอด),,,,,,,,,,,,,,,,,,,,,,,,,<<<10>;1;0;5%>>,摔角鹰人必杀技伤害大幅提升,摔角鷹人必殺技傷害大幅提升,The damage of Hawlucha’s Ultimate Skill is greatly increased,404,루차불 필살기 피해 대푹 증가,O dano da Ultimate Skill de Hawlucha é bastante aumentado,ความเสียหายของทักษะสูงสุดของ Hawlucha เพิ่มขึ้นอย่างมาก
80203,一般系送分,,3,21,1,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<1>;1;0;5%>>,,,,,,,
80204,百变怪送分,,3,21,1,1,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<1>;1;0;5%>>,,,,,,,
80205,,,3,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80206,,,3,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80211,草系御三家,,3,22,1,1,,,,,,1,,,,,,,,青草场地：,青草場地：,Grassy Terrain:,404,풀 그라운드: ,التضاريس العشبية:,Grasbewachsenes Gelände:,Terrain herbeux :,Terreno erboso:,Terreno gramado:,Травянистый ландшафт:,ภูมิประเทศเป็นหญ้า:,草系精灵每回合持续恢复一定生命值,草系精靈每回合持續恢復一定生命值,Grass type Pokémon recovers a certain amount of HP every round,404,풀 타입 포켓몬은 턴마다 지속적으로 일정한 HP를 회복한다,يستعيد البوكيمون من النوع العشبي قدرًا معينًا من نقاط الصحة في كل جولة,Pokémon vom Typ Pflanze regenerieren jede Runde eine bestimmte Menge an KP,Les Pokémon de type Plante récupèrent une certaine quantité de PV à chaque tour,I Pokémon di tipo Erba recuperano una certa quantità di PS ogni round,Pokémon do tipo grama recupera uma certa quantidade de HP a cada rodada,Покемон травяного типа восстанавливает определенное количество HP каждый раунд.,โปเกมอนประเภทหญ้าจะฟื้นฟู HP จำนวนหนึ่งทุกๆ รอบ,<<<4>;1;0;6%>>,\n进化の奥义,\n進化の奧義,\n Ultimate Evolution,404,\n진화의 오의,\n Evolução Definitiva,\n วิวัฒนาการขั้นสุดยอด
80212,,,3,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80213,6爆音怪,,3,22,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<1>;1;0;6%>;<<1>;13;0;6%>;<<1>;7;0;10%>;<<1>;8;0;10%>;<<1>;9;0;20%>;<<1>;10;0;20%>;<<1>;24;0;8000>>,\n敌方全体怒气无限,\n敵方全體怒氣無限,\nAnger of all enemies are full and unlimited,404,\n적 전체 무한 분노,\nA raiva de todos os inimigos é plena e ilimitada,ความโกรธของศัตรูทั้งหลายนั้นเต็มเปี่ยมและไร้ขีดจำกัด
80214,,,3,22,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80215,,,3,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80216,,,3,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80221,妙蛙+月桂叶,,3,23,1,1,,,,,,1,,,,,,,,青草场地：,青草場地：,Grassy Terrain:,404,풀 그라운드: ,التضاريس العشبية:,Grasbewachsenes Gelände:,Terrain herbeux :,Terreno erboso:,Terreno gramado:,Травянистый ландшафт:,ภูมิประเทศเป็นหญ้า:,草系精灵每回合持续恢复一定生命值,草系精靈每回合持續恢復一定生命值,Grass type Pokémon recovers a certain amount of HP every round,404,풀 타입 포켓몬은 턴마다 지속적으로 일정한 HP를 회복한다,يستعيد البوكيمون من النوع العشبي قدرًا معينًا من نقاط الصحة في كل جولة,Pokémon vom Typ Pflanze regenerieren jede Runde eine bestimmte Menge an KP,Les Pokémon de type Plante récupèrent une certaine quantité de PV à chaque tour,I Pokémon di tipo Erba recuperano una certa quantità di PS ogni round,Pokémon do tipo grama recupera uma certa quantidade de HP a cada rodada,Покемон травяного типа восстанавливает определенное количество HP каждый раунд.,โปเกมอนประเภทหญ้าจะฟื้นฟู HP จำนวนหนึ่งทุกๆ รอบ,<<<4>;1;0;7%>;<<4>;23;0;2500>>,,,,,,,
80222,音波龙+螳螂,,3,23,1,1,,,,,,4,【乱流】（飞行系精灵速度提升，每个回合精灵有几率被【吹飞】，非飞行系精灵落地时会损失一定生命值）,【亂流】（飛行系精靈速度提升，每個回合精靈有幾率被【吹飛】，非飛行系精靈落地時會損失一定生命值）,"[Strong Winds] (Increase Speed of Flying type Pokémon. Each round, Pokémon have a chance to be [Blow off], and non-Flying type Pokémon will lose a certain amount of HP when landing)","[Strong Winds] (Increase Speed of Flying type Pokémon. Each round, Pokémon have a chance to be [Blow off], and non-Flying type Pokémon will lose a certain amount of HP when landing)","[난류] (비행 타입 포켓몬 스피드 증가, 턴마다 포켓몬이 일정 확률로 [날려버리기]를 맞으며 비행 타입 아닌 포켓몬이 착지 시 일정한 HP를 손실한다 )","[Ventos Fortes] (Aumenta a Velocidade de Pokémon do tipo Voador. A cada rodada, os Pokémon têm a chance de serem [Blow off], e os Pokémon do tipo não Voador perderão uma certa quantidade de HP ao pousar)",[ลมแรง] (เพิ่มความเร็วให้กับโปเกมอนประเภทบิน ในแต่ละรอบ โปเกมอนจะมีโอกาสถูก [พัดหลุด] และโปเกมอนที่ไม่ใช่ประเภทบินจะเสีย HP จำนวนหนึ่งเมื่อลงจอด),,,,,,,,,,,,,,,,,,,,,,,,,<<<10>;1;0;7%>;<<10>;95;0;2000>>,,,,,,,
80223,6一拳,,3,23,1,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<1>;1;0;7%>;<<1>;24;0;5000>>,,,,,,,
80224,,,3,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80225,,,3,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80226,,,3,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80231,谢米,,3,24,2,1,,,,22,,6,,,,,,,,青草场地：,青草場地：,Grassy Terrain:,404,풀 그라운드: ,التضاريس العشبية:,Grasbewachsenes Gelände:,Terrain herbeux :,Terreno erboso:,Terreno gramado:,Травянистый ландшафт:,ภูมิประเทศเป็นหญ้า:,草系精灵每回合持续恢复一定生命值,草系精靈每回合持續恢復一定生命值,Grass type Pokémon recovers a certain amount of HP every round,404,풀 타입 포켓몬은 턴마다 지속적으로 일정한 HP를 회복한다,يستعيد البوكيمون من النوع العشبي قدرًا معينًا من نقاط الصحة في كل جولة,Pokémon vom Typ Pflanze regenerieren jede Runde eine bestimmte Menge an KP,Les Pokémon de type Plante récupèrent une certaine quantité de PV à chaque tour,I Pokémon di tipo Erba recuperano una certa quantità di PS ogni round,Pokémon do tipo grama recupera uma certa quantidade de HP a cada rodada,Покемон травяного типа восстанавливает определенное количество HP каждый раунд.,โปเกมอนประเภทหญ้าจะฟื้นฟู HP จำนวนหนึ่งทุกๆ รอบ,<<<4>;1;0;8%>;<<4>;25;0;2000>;<<4>;23;0;2000>>,,,,,,,
80232,卡比+树枭,,3,24,1,1,,,,22,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<4>;14;0;500>;<<1;4>;1;0;8%>;<<1>;25;0;1000>>,,,,,,,
80233,,,3,24,0,1,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80234,,,3,24,0,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80235,,,3,24,0,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80236,,,3,24,0,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80241,三马桶,,3,25,1,1,,,,23,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,百变怪或许有特殊的能力？,百變怪或許有特殊的能力？,Maybe Ditto has a special ability?,404,메타몽이 특수한 능력이 있을 수도 있죠?,Talvez Ditto tenha uma habilidade especial?,บางที Ditto อาจมีความสามารถพิเศษหรือเปล่า?
80242,三圣鸟,,3,25,1,1,,,,23,22,2,【乱流】（飞行系精灵速度提升，每个回合精灵有几率被【吹飞】，非飞行系精灵落地时会损失一定生命值）,【亂流】（飛行系精靈速度提升，每個回合精靈有幾率被【吹飛】，非飛行系精靈落地時會損失一定生命值）,"[Strong Winds] (Increase Speed of Flying type Pokémon. Each round, Pokémon have a chance to be [Blow off], and non-Flying type Pokémon will lose a certain amount of HP when landing)","[Strong Winds] (Increase Speed of Flying type Pokémon. Each round, Pokémon have a chance to be [Blow off], and non-Flying type Pokémon will lose a certain amount of HP when landing)","[난류] (비행 타입 포켓몬 스피드 증가, 턴마다 포켓몬이 일정 확률로 [날려버리기]를 맞으며 비행 타입 아닌 포켓몬이 착지 시 일정한 HP를 손실한다 )","[Ventos Fortes] (Aumenta a Velocidade de Pokémon do tipo Voador. A cada rodada, os Pokémon têm a chance de serem [Blow off], e os Pokémon do tipo não Voador perderão uma certa quantidade de HP ao pousar)",[ลมแรง] (เพิ่มความเร็วให้กับโปเกมอนประเภทบิน ในแต่ละรอบ โปเกมอนจะมีโอกาสถูก [พัดหลุด] และโปเกมอนที่ไม่ใช่ประเภทบินจะเสีย HP จำนวนหนึ่งเมื่อลงจอด),,,,,,,,,,,,,,,,,,,,,,,,,,三圣鸟免疫各自属性的伤害；\n双方属性克制伤害大幅提升,三聖鳥免疫各自屬性的傷害；\n雙方屬性克制傷害大幅提升,The Three Legendary Birds are immune to the damage of their corresponding type;\nThe type restrain damage of both sides is greatly increased,404,전설의 새가 자신의 타입 피해 면역; \n양측 포켓몬 타입 상성 피해 대푹 증가,Os Três Pássaros Lendários são imunes ao dano do seu tipo correspondente;\nO dano de restrição de tipo de ambos os lados é bastante aumentado,นกในตำนานทั้งสามตัวจะไม่รับความเสียหายจากประเภทที่สอดคล้องกัน ความเสียหายประเภทยับยั้งของทั้งสองฝ่ายจะเพิ่มขึ้นอย่างมาก
80243,百鸟朝凤,,3,25,1,1,,,,23,22,8,【乱流】（飞行系精灵速度提升，每个回合精灵有几率被【吹飞】，非飞行系精灵落地时会损失一定生命值）,【亂流】（飛行系精靈速度提升，每個回合精靈有幾率被【吹飛】，非飛行系精靈落地時會損失一定生命值）,"[Strong Winds] (Increase Speed of Flying type Pokémon. Each round, Pokémon have a chance to be [Blow off], and non-Flying type Pokémon will lose a certain amount of HP when landing)","[Strong Winds] (Increase Speed of Flying type Pokémon. Each round, Pokémon have a chance to be [Blow off], and non-Flying type Pokémon will lose a certain amount of HP when landing)","[난류] (비행 타입 포켓몬 스피드 증가, 턴마다 포켓몬이 일정 확률로 [날려버리기]를 맞으며 비행 타입 아닌 포켓몬이 착지 시 일정한 HP를 손실한다 )","[Ventos Fortes] (Aumenta a Velocidade de Pokémon do tipo Voador. A cada rodada, os Pokémon têm a chance de serem [Blow off], e os Pokémon do tipo não Voador perderão uma certa quantidade de HP ao pousar)",[ลมแรง] (เพิ่มความเร็วให้กับโปเกมอนประเภทบิน ในแต่ละรอบ โปเกมอนจะมีโอกาสถูก [พัดหลุด] และโปเกมอนที่ไม่ใช่ประเภทบินจะเสีย HP จำนวนหนึ่งเมื่อลงจอด),,,,,,,,,,,,,,,,,,,,,,,,,,百鸟朝凤：凤王会保护友方全体不受乱流天气影响\n凤王每次必杀技牺牲自身20%生命，神鸟祝福作用范围会覆盖全体，且不限次数\n凤王死后，所有精灵作鸟兽散,百鳥朝鳳：鳳王會保護友方全體不受亂流天氣影響\n鳳王每次必殺技犧牲自身20%生命，神鳥祝福作用範圍會覆蓋全體，且不限次數\n鳳王死後，所有精靈作鳥獸散,"Leader of legend birds: Ho-Oh will protect all allies from the Strong Wind weather\nHo-Oh sacrifices 20% of its HP with each Ultimate Skill. Holy Bird Blessing will affect all its allies and the number of times is unlimited.\nAfter Ho-Oh being defeated , all the Pokémon flees away",404,불사조의 노래: 칠색조는 아군 전체 포켓몬이 날씨의 영향을 받지 않게 지켜준다\n칠색조는 필살기를 발동할 때마다 자신 HP 2%를 손실한다. 신조의 축복 적용 범위는 전체다\n칠색조가 죽은 후 모든 포켓몬도 황망히 도망갔다,"Líder dos pássaros lendários: Ho-Oh protegerá todos os aliados do clima de Vento Forte\nHo-Oh sacrifica 20% de seu HP com cada Habilidade Suprema. A Bênção do Pássaro Sagrado afetará todos os seus aliados e o número de vezes é ilimitado.\nApós Ho-Oh ser derrotado, todos os Pokémon fogem",หัวหน้านกในตำนาน: โฮ-โอจะปกป้องพันธมิตรทั้งหมดจากลมแรง โฮ-โอจะเสียสละ HP 20% ด้วยทักษะอัลติเมทแต่ละทักษะ พรของนกศักดิ์สิทธิ์จะส่งผลต่อพันธมิตรทั้งหมดและจำนวนครั้งไม่จำกัด หลังจากโฮ-โอถูกปราบ โปเกมอนทั้งหมดจะหนีไป
80244,6时拉比,,3,25,1,1,,,,23,22,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<4>;1;0;10%>>,\n是曾经的我，也是未来的我,\n是曾經的我，也是未來的我,"\n The past me, is also the future me",,,"\n O eu do passado, também é o eu do futuro",\n ฉันในอดีตก็คือฉันในอนาคต
80245,,,3,25,0,,,,,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80246,,,3,25,0,,,,,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80251,普草飞馆主,TRUE,3,,100,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80301,火系送分,,4,31,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<2>;1;0;5%>;<<2>;14;0;500>>,,,,,,,
80302,格斗送分,,4,31,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<7>;1;0;5%>;<<7>;14;0;500>>,,,,,,,
80303,,,4,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80304,,,4,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80305,,,4,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80306,,,4,31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80311,火系御三家,,4,32,1,1,,,,,,1,【大日照】（火系精灵伤害提升，水系精灵伤害降低，全体获得【太阳之力】（每回合损失一定生命，伤害提升，可叠加）,【大日照】（火系精靈傷害提升，水系精靈傷害降低，全體獲得【太陽之力】（每回合損失一定生命，傷害提升，可疊加）,"[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[쾌청] 불꽃 타입 포켓몬 피해 증가, 물 타입 포켓몬 피해 감소, 전체 포켓몬 [태양의 힘] 획득 (턴마다 일정한 HP 손실, 피해 증가, 중첩 가능)","[Luz solar extremamente severa] (Aumenta o dano de Pokémon do tipo Fogo e reduz o dano de Pokémon do tipo Água, todos os Pokémon recebem o estado [Poder do Sol] (uma certa quantidade de HP será perdida a cada rodada, pode ser acumulada, o dano aumenta quando acumula)",[แสงแดดที่รุนแรงมาก] (เพิ่มความเสียหายให้กับโปเกมอนประเภทไฟ และลดความเสียหายให้กับโปเกมอนประเภทน้ำ โปเกมอนทุกตัวจะอยู่ในสถานะ [พลังแห่งดวงอาทิตย์] (จะสูญเสีย HP จำนวนหนึ่งทุก ๆ รอบ สามารถซ้อนกันได้ ความเสียหายจะเพิ่มขึ้นเมื่อซ้อนกัน),,,,,,,,,,,,,,,,,,,,,,,,,<<<2>;1;0;6%>>,\n进化の奥义,\n進化の奧義,\n Ultimate Evolution,404,\n진화의 오의,\n Evolução Definitiva,\n วิวัฒนาการขั้นสุดยอด
80312,5怪力,,4,32,1,1,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<<<2;7>;1;0;6%>;<<2;7>;24;0;2000>>,子不语怪力,怪力笑了,Machamp laughed out loud,404,괴력몬 웃었다,Machamp riu alto,มาแชมป์หัวเราะเสียงดัง
80313,喷火龙全家桶,,4,32,1,1,,,,,,8,【大日照】（火系精灵伤害提升，水系精灵伤害降低，全体获得【太阳之力】（每回合损失一定生命，伤害提升，可叠加）,【大日照】（火系精靈傷害提升，水系精靈傷害降低，全體獲得【太陽之力】（每回合損失一定生命，傷害提升，可疊加）,"[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[쾌청] 불꽃 타입 포켓몬 피해 증가, 물 타입 포켓몬 피해 감소, 전체 포켓몬 [태양의 힘] 획득 (턴마다 일정한 HP 손실, 피해 증가, 중첩 가능)","[Luz solar extremamente severa] (Aumenta o dano de Pokémon do tipo Fogo e reduz o dano de Pokémon do tipo Água, todos os Pokémon recebem o estado [Poder do Sol] (uma certa quantidade de HP será perdida a cada rodada, pode ser acumulada, o dano aumenta quando acumula)",[แสงแดดที่รุนแรงมาก] (เพิ่มความเสียหายให้กับโปเกมอนประเภทไฟ และลดความเสียหายให้กับโปเกมอนประเภทน้ำ โปเกมอนทุกตัวจะอยู่ในสถานะ [พลังแห่งดวงอาทิตย์] (จะสูญเสีย HP จำนวนหนึ่งทุก ๆ รอบ สามารถซ้อนกันได้ ความเสียหายจะเพิ่มขึ้นเมื่อซ้อนกัน),,,,,,,,,,,,,,,,,,,,,,,,,<<<2>;1;0;6%>;<<2>;14;0;10000>;<<2>;23;0;5000>>,,,,,,,
80314,,,4,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80315,,,4,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80316,,,4,32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80321,火炎狮残局王者,,4,33,1,1,,,,,,2,【大日照】（火系精灵伤害提升，水系精灵伤害降低，全体获得【太阳之力】（每回合损失一定生命，伤害提升，可叠加）,【大日照】（火系精靈傷害提升，水系精靈傷害降低，全體獲得【太陽之力】（每回合損失一定生命，傷害提升，可疊加）,"[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[Extremely Harsh Sunlight] (Increase damage of Fire type Pokémon, and reduce damage of Water type Pokémon, all Pokémon get [Power of the Sun] state (a certain amount of HP will be lost every round, can be stack, damage raises when stack)","[쾌청] 불꽃 타입 포켓몬 피해 증가, 물 타입 포켓몬 피해 감소, 전체 포켓몬 [태양의 힘] 획득 (턴마다 일정한 HP 손실, 피해 증가, 중첩 가능)","[Luz solar extremamente severa] (Aumenta o dano de Pokémon do tipo Fogo e reduz o dano de Pokémon do tipo Água, todos os Pokémon recebem o estado [Poder do Sol] (uma certa quantidade de HP será perdida a cada rodada, pode ser acumulada, o dano aumenta quando acumula)",[แสงแดดที่รุนแรงมาก] (เพิ่มความเสียหายให้กับโปเกมอนประเภทไฟ และลดความเสียหายให้กับโปเกมอนประเภทน้ำ โปเกมอนทุกตัวจะอยู่ในสถานะ [พลังแห่งดวงอาทิตย์] (จะสูญเสีย HP จำนวนหนึ่งทุก ๆ รอบ สามารถซ้อนกันได้ ความเสียหายจะเพิ่มขึ้นเมื่อซ้อนกัน),,,,,,,,,,,,,,,,,,,,,,,,,<<<2>;1;0;7%>;<<2>;15;0;2000>>,,,,,,,
