±äÁ¿Ãû,level,randomWeight,card1,skillMap1,card2,skillMap2,card3,skillMap3,card4,skillMap4,card5,skillMap5,card6,skillMap6
228,20,100,{id=3291},{32912=23;32911=23;32913=23},{star=3;id=301},{3013=23;3012=23;3011=23},{star=3;id=781},{7811=23;7812=23;7813=23},{star=3;id=3411},{34113=23;34111=23;34112=23},{star=3;id=11},{112=23;111=23;113=23},{},{}
229,20,100,{id=3431},{34312=23;34313=23;34311=23},{star=3;id=781},{7811=23;7812=23;7813=23},{star=3;id=481},{4811=23;4813=23;4812=23},{star=3;id=691},{6912=23;6913=23;6911=23},{star=3;id=2071},{20712=23;20713=23;20711=23},{},{}
230,20,100,{id=21},{212=23;211=23;213=23},{star=3;id=51},{512=23;513=23;511=23},{star=3;id=3291},{32912=23;32911=23;32913=23},{star=3;id=2921},{29212=23;29211=23;29213=23},{star=3;id=551},{5512=23;5511=23;5513=23},{},{}
231,20,100,{id=2301},{23012=23;23011=23;23013=23},{star=3;id=91},{912=23;911=23;913=23},{star=3;id=481},{4811=23;4813=23;4812=23},{star=3;id=2921},{29212=23;29211=23;29213=23},{star=3;id=2591},{25911=23;25912=23;25913=23},{},{}
232,20,100,{id=3411},{34113=23;34111=23;34112=23},{star=3;id=11},{112=23;111=23;113=23},{star=3;id=2591},{25911=23;25912=23;25913=23},{star=3;id=1441},{14411=23;14413=23;14412=23},{star=3;id=2011},{20112=23;20111=23;20113=23},{},{}
233,20,100,{id=2611},{26113=23;26111=23;26112=23},{star=3;id=2871},{28712=23;28713=23;28711=23},{star=3;id=3291},{32912=23;32911=23;32913=23},{star=3;id=21},{212=23;211=23;213=23},{star=3;id=1},{11=23;13=23;12=23},{},{}
234,20,100,{id=2631},{26312=23;26311=23;26313=23},{star=3;id=51},{512=23;513=23;511=23},{star=3;id=1611},{16113=23;16111=23;16112=23},{star=3;id=2301},{23012=23;23011=23;23013=23},{star=3;id=3411},{34113=23;34111=23;34112=23},{},{}
235,20,100,{id=2871},{28712=23;28713=23;28711=23},{star=3;id=3471},{34711=23;34713=23;34712=23},{star=3;id=2921},{29212=23;29211=23;29213=23},{star=3;id=271},{2713=23;2712=23;2711=23},{star=3;id=2071},{20712=23;20713=23;20711=23},{},{}
236,20,100,{id=2871},{28712=23;28713=23;28711=23},{star=3;id=781},{7811=23;7812=23;7813=23},{star=3;id=91},{912=23;911=23;913=23},{star=3;id=11},{112=23;111=23;113=23},{star=3;id=2681},{26811=23;26812=23;26813=23},{},{}
237,20,100,{id=2921},{29212=23;29211=23;29213=23},{star=3;id=801},{8011=23;8013=23;8012=23},{star=3;id=2481},{24813=23;24811=23;24812=23},{star=3;id=781},{7811=23;7812=23;7813=23},{star=3;id=1171},{11712=23;11713=23;11711=23},{},{}
238,20,100,{id=781},{7811=23;7812=23;7813=23},{star=3;id=2611},{26113=23;26111=23;26112=23},{star=3;id=481},{4811=23;4813=23;4812=23},{star=3;id=551},{5512=23;5511=23;5513=23},{star=3;id=3431},{34312=23;34313=23;34311=23},{},{}
239,20,100,{id=2921},{29212=23;29211=23;29213=23},{star=3;id=2011},{20112=23;20111=23;20113=23},{star=3;id=781},{7811=23;7812=23;7813=23},{star=3;id=2071},{20712=23;20713=23;20711=23},{star=3;id=481},{4811=23;4813=23;4812=23},{},{}
240,20,100,{id=791},{7912=23;7913=23;7911=23},{star=3;id=1441},{14411=23;14413=23;14412=23},{star=3;id=3471},{34711=23;34713=23;34712=23},{star=3;id=2011},{20112=23;20111=23;20113=23},{star=3;id=3501},{35012=23;35011=23;35013=23},{},{}
241,100,100,{id=2301},{23012=25;23011=25;23013=25},{star=4;id=2591},{25911=25;25912=25;25913=25},{star=4;id=271},{2713=25;2712=25;2711=25},{star=4;id=3001},{30012=25;30011=25;30013=25},{star=4;id=2821},{28211=25;28212=25;28213=25},{star=4;id=1841},{18411=25;18413=25;18412=25}
242,100,100,{id=1501},{15012=25;15011=25;15013=25},{star=4;id=591},{5912=25;5911=25;5913=25},{star=4;id=691},{6912=25;6913=25;6911=25},{star=4;id=51},{512=25;513=25;511=25},{star=4;id=491},{4913=25;4911=25;4912=25},{star=4;id=2821},{28211=25;28212=25;28213=25}
243,100,100,{id=3001},{30012=25;30011=25;30013=25},{star=4;id=2921},{29212=25;29211=25;29213=25},{star=4;id=471},{4713=25;4711=25;4712=25},{star=4;id=1291},{12913=25;12911=25;12912=25},{star=4;id=1071},{10713=25;10711=25;10712=25},{star=4;id=1611},{16113=25;16111=25;16112=25}
244,100,100,{id=3301},{33012=25;33013=25;33011=25},{star=4;id=2961},{29612=25;29611=25;29613=25},{star=4;id=3501},{35012=25;35011=25;35013=25},{star=4;id=261},{2611=25;2613=25;2612=25},{star=4;id=1841},{18411=25;18413=25;18412=25},{star=4;id=371},{3712=25;3711=25;3713=25}
245,100,100,{id=1611},{16113=25;16111=25;16112=25},{star=4;id=791},{7912=25;7913=25;7911=25},{star=4;id=2631},{26312=25;26311=25;26313=25},{star=4;id=1311},{13111=25;13113=25;13112=25},{star=4;id=471},{4713=25;4711=25;4712=25},{star=4;id=3281},{32812=25;32811=25;32813=25}
246,100,100,{id=2921},{29212=25;29211=25;29213=25},{star=4;id=3341},{33412=25;33413=25;33411=25},{star=4;id=11},{112=25;111=25;113=25},{star=4;id=331},{3312=25;3313=25;3311=25},{star=4;id=1421},{14212=25;14211=25;14213=25},{star=4;id=261},{2611=25;2613=25;2612=25}
247,100,100,{id=3431},{34312=25;34313=25;34311=25},{star=4;id=1291},{12913=25;12911=25;12912=25},{star=4;id=881},{8811=25;8813=25;8812=25},{star=4;id=261},{2611=25;2613=25;2612=25},{star=4;id=1081},{10811=25;10813=25;10812=25},{star=4;id=2071},{20712=25;20713=25;20711=25}
248,100,100,{id=3431},{34312=25;34313=25;34311=25},{star=4;id=601},{6012=25;6011=25;6013=25},{star=4;id=2721},{27212=25;27213=25;27211=25},{star=4;id=551},{5512=25;5511=25;5513=25},{star=4;id=3141},{31413=25;31412=25;31411=25},{star=4;id=2631},{26312=25;26311=25;26313=25}
249,100,100,{id=2011},{20112=25;20111=25;20113=25},{star=4;id=1071},{10713=25;10711=25;10712=25},{star=4;id=3411},{34113=25;34111=25;34112=25},{star=4;id=3291},{32912=25;32911=25;32913=25},{star=4;id=3001},{30012=25;30011=25;30013=25},{star=4;id=1291},{12913=25;12911=25;12912=25}
250,100,100,{id=2871},{28712=25;28713=25;28711=25},{star=4;id=741},{7411=25;7412=25;7413=25},{star=4;id=1391},{13911=25;13913=25;13912=25},{star=4;id=1291},{12913=25;12911=25;12912=25},{star=4;id=2961},{29612=25;29611=25;29613=25},{star=4;id=2921},{29212=25;29211=25;29213=25}
251,100,100,{id=2961},{29612=25;29611=25;29613=25},{star=4;id=2011},{20112=25;20111=25;20113=25},{star=4;id=3541},{35412=25;35413=25;35411=25},{star=4;id=3301},{33012=25;33013=25;33011=25},{star=4;id=261},{2611=25;2613=25;2612=25},{star=4;id=2071},{20712=25;20713=25;20711=25}
252,100,100,{id=3511},{35111=25;35113=25;35112=25},{star=4;id=3351},{33512=25;33511=25;33513=25},{star=4;id=1441},{14411=25;14413=25;14412=25},{star=4;id=3411},{34113=25;34111=25;34112=25},{star=4;id=3301},{33012=25;33013=25;33011=25},{star=4;id=1171},{11712=25;11713=25;11711=25}
253,100,100,{id=3411},{34113=25;34111=25;34112=25},{star=4;id=1811},{18112=25;18111=25;18113=25},{star=4;id=371},{3712=25;3711=25;3713=25},{star=4;id=2011},{20112=25;20111=25;20113=25},{star=4;id=3301},{33012=25;33013=25;33011=25},{star=4;id=2921},{29212=25;29211=25;29213=25}
254,100,100,{id=3511},{35111=25;35113=25;35112=25},{star=4;id=1861},{18612=25;18611=25;18613=25},{star=4;id=591},{5912=25;5911=25;5913=25},{star=4;id=271},{2713=25;2712=25;2711=25},{star=4;id=11},{112=25;111=25;113=25},{star=4;id=3471},{34711=25;34713=25;34712=25}
255,100,100,{id=3291},{32912=25;32911=25;32913=25},{star=4;id=2071},{20712=25;20713=25;20711=25},{star=4;id=461},{4612=25;4611=25;4613=25},{star=4;id=3541},{35412=25;35413=25;35411=25},{star=4;id=471},{4713=25;4711=25;4712=25},{star=4;id=771},{7712=25;7711=25;7713=25}
256,100,100,{id=691},{6912=25;6913=25;6911=25},{star=4;id=1291},{12913=25;12911=25;12912=25},{star=4;id=2301},{23012=25;23011=25;23013=25},{star=4;id=1611},{16113=25;16111=25;16112=25},{star=4;id=1421},{14212=25;14211=25;14213=25},{star=4;id=3301},{33012=25;33013=25;33011=25}
257,100,100,{id=21},{212=25;211=25;213=25},{star=4;id=1611},{16113=25;16111=25;16112=25},{star=4;id=2071},{20712=25;20713=25;20711=25},{star=4;id=271},{2713=25;2712=25;2711=25},{star=4;id=2721},{27212=25;27213=25;27211=25},{star=4;id=2611},{26113=25;26111=25;26112=25}
258,100,100,{id=771},{7712=25;7711=25;7713=25},{star=4;id=2631},{26312=25;26311=25;26313=25},{star=4;id=801},{8011=25;8013=25;8012=25},{star=4;id=791},{7912=25;7913=25;7911=25},{star=4;id=3291},{32912=25;32911=25;32913=25},{star=4;id=3541},{35412=25;35413=25;35411=25}
259,100,100,{id=3471},{34711=25;34713=25;34712=25},{star=4;id=3541},{35412=25;35413=25;35411=25},{star=4;id=601},{6012=25;6011=25;6013=25},{star=4;id=2011},{20112=25;20111=25;20113=25},{star=4;id=3431},{34312=25;34313=25;34311=25},{star=4;id=3411},{34113=25;34111=25;34112=25}
260,100,100,{id=3001},{30012=25;30011=25;30013=25},{star=4;id=801},{8011=25;8013=25;8012=25},{star=4;id=601},{6012=25;6011=25;6013=25},{star=4;id=2071},{20712=25;20713=25;20711=25},{star=4;id=1311},{13111=25;13113=25;13112=25},{star=4;id=3411},{34113=25;34111=25;34112=25}
261,100,100,{id=3471},{34711=27;34713=27;34712=27},{star=4;id=2681},{26811=27;26812=27;26813=27},{star=4;id=1421},{14212=27;14211=27;14213=27},{star=4;id=2871},{28712=27;28713=27;28711=27},{star=4;id=11},{112=27;111=27;113=27},{star=4;id=2631},{26312=27;26311=27;26313=27}
262,100,100,{id=881},{8811=27;8813=27;8812=27},{star=4;id=1},{11=27;13=27;12=27},{star=4;id=3141},{31413=27;31412=27;31411=27},{star=4;id=1421},{14212=27;14211=27;14213=27},{star=4;id=3291},{32912=27;32911=27;32913=27},{star=4;id=631},{6313=27;6312=27;6311=27}
263,100,100,{id=3471},{34711=27;34713=27;34712=27},{star=4;id=471},{4713=27;4711=27;4712=27},{star=4;id=1391},{13911=27;13913=27;13912=27},{star=4;id=11},{112=27;111=27;113=27},{star=4;id=3351},{33512=27;33511=27;33513=27},{star=4;id=1291},{12913=27;12911=27;12912=27}
264,100,100,{id=1441},{14411=27;14413=27;14412=27},{star=4;id=2871},{28712=27;28713=27;28711=27},{star=4;id=791},{7912=27;7913=27;7911=27},{star=4;id=3281},{32812=27;32811=27;32813=27},{star=4;id=601},{6012=27;6011=27;6013=27},{star=4;id=881},{8811=27;8813=27;8812=27}
265,100,100,{id=271},{2713=27;2712=27;2711=27},{star=4;id=2961},{29612=27;29611=27;29613=27},{star=4;id=391},{3912=27;3913=27;3911=27},{star=4;id=1251},{12511=27;12513=27;12512=27},{star=4;id=1611},{16113=27;16111=27;16112=27},{star=4;id=2721},{27212=27;27213=27;27211=27}
266,100,100,{id=2591},{25911=27;25912=27;25913=27},{star=4;id=1},{11=27;13=27;12=27},{star=4;id=3281},{32812=27;32811=27;32813=27},{star=4;id=3001},{30012=27;30011=27;30013=27},{star=4;id=571},{5711=27;5713=27;5712=27},{star=4;id=2921},{29212=27;29211=27;29213=27}
267,100,100,{id=51},{512=27;513=27;511=27},{star=4;id=281},{2813=27;2811=27;2812=27},{star=4;id=1171},{11712=27;11713=27;11711=27},{star=4;id=1861},{18612=27;18611=27;18613=27},{star=4;id=1391},{13911=27;13913=27;13912=27},{star=4;id=791},{7912=27;7913=27;7911=27}
268,100,100,{id=491},{4913=27;4911=27;4912=27},{star=4;id=1811},{18112=27;18111=27;18113=27},{star=4;id=1611},{16113=27;16111=27;16112=27},{star=4;id=3281},{32812=27;32811=27;32813=27},{star=4;id=731},{7312=27;7313=27;7311=27},{star=4;id=3141},{31413=27;31412=27;31411=27}
269,100,100,{id=261},{2611=27;2613=27;2612=27},{star=4;id=2681},{26811=27;26812=27;26813=27},{star=4;id=1171},{11712=27;11713=27;11711=27},{star=4;id=2921},{29212=27;29211=27;29213=27},{star=4;id=551},{5512=27;5511=27;5513=27},{star=4;id=3301},{33012=27;33013=27;33011=27}
270,100,100,{id=2071},{20712=27;20713=27;20711=27},{star=4;id=2961},{29612=27;29611=27;29613=27},{star=4;id=801},{8011=27;8013=27;8012=27},{star=4;id=3001},{30012=27;30011=27;30013=27},{star=4;id=391},{3912=27;3913=27;3911=27},{star=4;id=2871},{28712=27;28713=27;28711=27}
271,100,100,{id=601},{6012=27;6011=27;6013=27},{star=4;id=881},{8811=27;8813=27;8812=27},{star=4;id=691},{6912=27;6913=27;6911=27},{star=4;id=1611},{16113=27;16111=27;16112=27},{star=4;id=781},{7811=27;7812=27;7813=27},{star=4;id=3501},{35012=27;35011=27;35013=27}
272,100,100,{id=781},{7811=27;7812=27;7813=27},{star=4;id=301},{3013=27;3012=27;3011=27},{star=4;id=1},{11=27;13=27;12=27},{star=4;id=2821},{28211=27;28212=27;28213=27},{star=4;id=1501},{15012=27;15011=27;15013=27},{star=4;id=3001},{30012=27;30011=27;30013=27}
273,100,100,{id=881},{8811=27;8813=27;8812=27},{star=4;id=301},{3013=27;3012=27;3011=27},{star=4;id=1391},{13911=27;13913=27;13912=27},{star=4;id=2591},{25911=27;25912=27;25913=27},{star=4;id=791},{7912=27;7913=27;7911=27},{star=4;id=21},{212=27;211=27;213=27}
274,100,100,{id=51},{512=27;513=27;511=27},{star=4;id=1251},{12511=27;12513=27;12512=27},{star=4;id=2591},{25911=27;25912=27;25913=27},{star=4;id=2071},{20712=27;20713=27;20711=27},{star=4;id=3351},{33512=27;33511=27;33513=27},{star=4;id=3411},{34113=27;34111=27;34112=27}
275,100,100,{id=2921},{29212=27;29211=27;29213=27},{star=4;id=3431},{34312=27;34313=27;34311=27},{star=4;id=3511},{35111=27;35113=27;35112=27},{star=4;id=791},{7912=27;7913=27;7911=27},{star=4;id=1861},{18612=27;18611=27;18613=27},{star=4;id=1291},{12913=27;12911=27;12912=27}
276,100,100,{id=3501},{35012=27;35011=27;35013=27},{star=4;id=371},{3712=27;3711=27;3713=27},{star=4;id=491},{4913=27;4911=27;4912=27},{star=4;id=1391},{13911=27;13913=27;13912=27},{star=4;id=791},{7912=27;7913=27;7911=27},{star=4;id=2481},{24813=27;24811=27;24812=27}
277,100,100,{id=1441},{14411=27;14413=27;14412=27},{star=4;id=2681},{26811=27;26812=27;26813=27},{star=4;id=3351},{33512=27;33511=27;33513=27},{star=4;id=1251},{12511=27;12513=27;12512=27},{star=4;id=21},{212=27;211=27;213=27},{star=4;id=2271},{22712=27;22711=27;22713=27}
278,100,100,{id=3411},{34113=27;34111=27;34112=27},{star=4;id=1311},{13111=27;13113=27;13112=27},{star=4;id=1391},{13911=27;13913=27;13912=27},{star=4;id=741},{7411=27;7412=27;7413=27},{star=4;id=1501},{15012=27;15011=27;15013=27},{star=4;id=271},{2713=27;2712=27;2711=27}
279,100,100,{id=281},{2813=27;2811=27;2812=27},{star=4;id=801},{8011=27;8013=27;8012=27},{star=4;id=471},{4713=27;4711=27;4712=27},{star=4;id=1391},{13911=27;13913=27;13912=27},{star=4;id=261},{2611=27;2613=27;2612=27},{star=4;id=1311},{13111=27;13113=27;13112=27}
280,100,100,{id=51},{512=27;513=27;511=27},{star=4;id=3291},{32912=27;32911=27;32913=27},{star=4;id=491},{4913=27;4911=27;4912=27},{star=4;id=571},{5711=27;5713=27;5712=27},{star=4;id=1501},{15012=27;15011=27;15013=27},{star=4;id=2631},{26312=27;26311=27;26313=27}
281,100,100,{id=3281},{32812=29;32811=29;32813=29},{star=4;id=21},{212=29;211=29;213=29},{star=4;id=391},{3912=29;3913=29;3911=29},{star=4;id=2871},{28712=29;28713=29;28711=29},{star=4;id=801},{8011=29;8013=29;8012=29},{star=4;id=1},{11=29;13=29;12=29}
282,100,100,{id=1391},{13911=29;13913=29;13912=29},{star=4;id=331},{3312=29;3313=29;3311=29},{star=4;id=601},{6012=29;6011=29;6013=29},{star=4;id=571},{5711=29;5713=29;5712=29},{star=4;id=2301},{23012=29;23011=29;23013=29},{star=4;id=1081},{10811=29;10813=29;10812=29}
283,100,100,{id=1251},{12511=29;12513=29;12512=29},{star=4;id=731},{7312=29;7313=29;7311=29},{star=4;id=1071},{10713=29;10711=29;10712=29},{star=4;id=3341},{33412=29;33413=29;33411=29},{star=4;id=1501},{15012=29;15011=29;15013=29},{star=4;id=1},{11=29;13=29;12=29}
284,100,100,{id=1081},{10811=29;10813=29;10812=29},{star=4;id=801},{8011=29;8013=29;8012=29},{star=4;id=91},{912=29;911=29;913=29},{star=4;id=3411},{34113=29;34111=29;34112=29},{star=4;id=3511},{35111=29;35113=29;35112=29},{star=4;id=481},{4811=29;4813=29;4812=29}
285,100,100,{id=2481},{24813=29;24811=29;24812=29},{star=4;id=2821},{28211=29;28212=29;28213=29},{star=4;id=2631},{26312=29;26311=29;26313=29},{star=4;id=881},{8811=29;8813=29;8812=29},{star=4;id=261},{2611=29;2613=29;2612=29},{star=4;id=3351},{33512=29;33511=29;33513=29}
286,100,100,{id=281},{2813=29;2811=29;2812=29},{star=4;id=481},{4811=29;4813=29;4812=29},{star=4;id=21},{212=29;211=29;213=29},{star=4;id=491},{4913=29;4911=29;4912=29},{star=4;id=391},{3912=29;3913=29;3911=29},{star=4;id=2591},{25911=29;25912=29;25913=29}
287,100,100,{id=2011},{20112=29;20111=29;20113=29},{star=4;id=2631},{26312=29;26311=29;26313=29},{star=4;id=391},{3912=29;3913=29;3911=29},{star=4;id=281},{2813=29;2811=29;2812=29},{star=4;id=2871},{28712=29;28713=29;28711=29},{star=4;id=1231},{12311=29;12312=29;12313=29}
288,100,100,{id=801},{8011=29;8013=29;8012=29},{star=4;id=1421},{14212=29;14211=29;14213=29},{star=4;id=731},{7312=29;7313=29;7311=29},{star=4;id=3141},{31413=29;31412=29;31411=29},{star=4;id=591},{5912=29;5911=29;5913=29},{star=4;id=1251},{12511=29;12513=29;12512=29}
289,100,100,{id=1811},{18112=29;18111=29;18113=29},{star=4;id=1},{11=29;13=29;12=29},{star=4;id=2871},{28712=29;28713=29;28711=29},{star=4;id=2821},{28211=29;28212=29;28213=29},{star=4;id=3281},{32812=29;32811=29;32813=29},{star=4;id=801},{8011=29;8013=29;8012=29}
290,100,100,{id=2591},{25911=29;25912=29;25913=29},{star=4;id=1251},{12511=29;12513=29;12512=29},{star=4;id=691},{6912=29;6913=29;6911=29},{star=4;id=3501},{35012=29;35011=29;35013=29},{star=4;id=3301},{33012=29;33013=29;33011=29},{star=4;id=3291},{32912=29;32911=29;32913=29}
291,100,100,{id=1311},{13111=29;13113=29;13112=29},{star=4;id=301},{3013=29;3012=29;3011=29},{star=4;id=2301},{23012=29;23011=29;23013=29},{star=4;id=691},{6912=29;6913=29;6911=29},{star=4;id=3341},{33412=29;33413=29;33411=29},{star=4;id=261},{2611=29;2613=29;2612=29}
292,100,100,{id=301},{3013=29;3012=29;3011=29},{star=4;id=3471},{34711=29;34713=29;34712=29},{star=4;id=2961},{29612=29;29611=29;29613=29},{star=4;id=471},{4713=29;4711=29;4712=29},{star=4;id=771},{7712=29;7711=29;7713=29},{star=4;id=1441},{14411=29;14413=29;14412=29}
293,100,100,{id=2481},{24813=29;24811=29;24812=29},{star=4;id=2611},{26113=29;26111=29;26112=29},{star=4;id=3541},{35412=29;35413=29;35411=29},{star=4;id=3291},{32912=29;32911=29;32913=29},{star=4;id=1441},{14411=29;14413=29;14412=29},{star=4;id=281},{2813=29;2811=29;2812=29}
294,100,100,{id=11},{112=29;111=29;113=29},{star=4;id=2011},{20112=29;20111=29;20113=29},{star=4;id=281},{2813=29;2811=29;2812=29},{star=4;id=591},{5912=29;5911=29;5913=29},{star=4;id=371},{3712=29;3711=29;3713=29},{star=4;id=3301},{33012=29;33013=29;33011=29}
295,100,100,{id=1221},{12211=29;12213=29;12212=29},{star=4;id=301},{3013=29;3012=29;3011=29},{star=4;id=2871},{28712=29;28713=29;28711=29},{star=4;id=1081},{10811=29;10813=29;10812=29},{star=4;id=2271},{22712=29;22711=29;22713=29},{star=4;id=11},{112=29;111=29;113=29}
296,100,100,{id=51},{512=29;513=29;511=29},{star=4;id=391},{3912=29;3913=29;3911=29},{star=4;id=1071},{10713=29;10711=29;10712=29},{star=4;id=2821},{28211=29;28212=29;28213=29},{star=4;id=1861},{18612=29;18611=29;18613=29},{star=4;id=3411},{34113=29;34111=29;34112=29}
297,100,100,{id=2871},{28712=29;28713=29;28711=29},{star=4;id=3431},{34312=29;34313=29;34311=29},{star=4;id=3301},{33012=29;33013=29;33011=29},{star=4;id=51},{512=29;513=29;511=29},{star=4;id=781},{7811=29;7812=29;7813=29},{star=4;id=2681},{26811=29;26812=29;26813=29}
298,100,100,{id=1081},{10811=29;10813=29;10812=29},{star=4;id=2921},{29212=29;29211=29;29213=29},{star=4;id=3301},{33012=29;33013=29;33011=29},{star=4;id=3351},{33512=29;33511=29;33513=29},{star=4;id=1291},{12913=29;12911=29;12912=29},{star=4;id=3541},{35412=29;35413=29;35411=29}
299,100,100,{id=2301},{23012=29;23011=29;23013=29},{star=4;id=721},{7213=29;7211=29;7212=29},{star=4;id=2071},{20712=29;20713=29;20711=29},{star=4;id=1081},{10811=29;10813=29;10812=29},{star=4;id=881},{8811=29;8813=29;8812=29},{star=4;id=2481},{24813=29;24811=29;24812=29}
300,100,100,{id=11},{112=29;111=29;113=29},{star=4;id=1611},{16113=29;16111=29;16112=29},{star=4;id=1441},{14411=29;14413=29;14412=29},{star=4;id=781},{7811=29;7812=29;7813=29},{star=4;id=481},{4811=29;4813=29;4812=29},{star=4;id=771},{7712=29;7711=29;7713=29}
301,100,100,{id=2271},{22712=31;22711=31;22713=31},{star=4;id=271},{2713=31;2712=31;2711=31},{star=4;id=3301},{33012=31;33013=31;33011=31},{star=4;id=1501},{15012=31;15011=31;15013=31},{star=4;id=51},{512=31;513=31;511=31},{star=4;id=491},{4913=31;4911=31;4912=31}
302,100,100,{id=2611},{26113=31;26111=31;26112=31},{star=4;id=391},{3912=31;3913=31;3911=31},{star=4;id=1811},{18112=31;18111=31;18113=31},{star=4;id=781},{7811=31;7812=31;7813=31},{star=4;id=881},{8811=31;8813=31;8812=31},{star=4;id=1311},{13111=31;13113=31;13112=31}
303,100,100,{id=2721},{27212=31;27213=31;27211=31},{star=4;id=2961},{29612=31;29611=31;29613=31},{star=4;id=1421},{14212=31;14211=31;14213=31},{star=4;id=271},{2713=31;2712=31;2711=31},{star=4;id=3281},{32812=31;32811=31;32813=31},{star=4;id=1391},{13911=31;13913=31;13912=31}
304,100,100,{id=751},{7512=31;7513=31;7511=31},{star=4;id=601},{6012=31;6011=31;6013=31},{star=4;id=1},{11=31;13=31;12=31},{star=4;id=3511},{35111=31;35113=31;35112=31},{star=4;id=3341},{33412=31;33413=31;33411=31},{star=4;id=881},{8811=31;8813=31;8812=31}
305,100,100,{id=1311},{13111=31;13113=31;13112=31},{star=4;id=51},{512=31;513=31;511=31},{star=4;id=3001},{30012=31;30011=31;30013=31},{star=4;id=3501},{35012=31;35011=31;35013=31},{star=4;id=21},{212=31;211=31;213=31},{star=4;id=1291},{12913=31;12911=31;12912=31}
306,100,100,{id=391},{3912=31;3913=31;3911=31},{star=4;id=2921},{29212=31;29211=31;29213=31},{star=4;id=3431},{34312=31;34313=31;34311=31},{star=4;id=2631},{26312=31;26311=31;26313=31},{star=4;id=3341},{33412=31;33413=31;33411=31},{star=4;id=691},{6912=31;6913=31;6911=31}
307,100,100,{id=781},{7811=31;7812=31;7813=31},{star=4;id=491},{4913=31;4911=31;4912=31},{star=4;id=2921},{29212=31;29211=31;29213=31},{star=4;id=631},{6313=31;6312=31;6311=31},{star=4;id=3351},{33512=31;33511=31;33513=31},{star=4;id=1291},{12913=31;12911=31;12912=31}
308,100,100,{id=11},{112=31;111=31;113=31},{star=4;id=551},{5512=31;5511=31;5513=31},{star=4;id=591},{5912=31;5911=31;5913=31},{star=4;id=1},{11=31;13=31;12=31},{star=4;id=391},{3912=31;3913=31;3911=31},{star=4;id=21},{212=31;211=31;213=31}
309,100,100,{id=3341},{33412=31;33413=31;33411=31},{star=4;id=261},{2611=31;2613=31;2612=31},{star=4;id=1811},{18112=31;18111=31;18113=31},{star=4;id=781},{7811=31;7812=31;7813=31},{star=4;id=881},{8811=31;8813=31;8812=31},{star=4;id=281},{2813=31;2811=31;2812=31}
310,100,100,{id=481},{4811=31;4813=31;4812=31},{star=4;id=1811},{18112=31;18111=31;18113=31},{star=4;id=3001},{30012=31;30011=31;30013=31},{star=4;id=3301},{33012=31;33013=31;33011=31},{star=4;id=3471},{34711=31;34713=31;34712=31},{star=4;id=1251},{12511=31;12513=31;12512=31}
311,100,100,{id=3471},{34711=31;34713=31;34712=31},{star=4;id=1441},{14411=31;14413=31;14412=31},{star=4;id=3511},{35111=31;35113=31;35112=31},{star=4;id=3501},{35012=31;35011=31;35013=31},{star=4;id=3341},{33412=31;33413=31;33411=31},{star=4;id=1311},{13111=31;13113=31;13112=31}
312,100,100,{id=1},{11=31;13=31;12=31},{star=4;id=491},{4913=31;4911=31;4912=31},{star=4;id=2631},{26312=31;26311=31;26313=31},{star=4;id=2681},{26811=31;26812=31;26813=31},{star=4;id=11},{112=31;111=31;113=31},{star=4;id=3501},{35012=31;35011=31;35013=31}
313,100,100,{id=3281},{32812=31;32811=31;32813=31},{star=4;id=1391},{13911=31;13913=31;13912=31},{star=4;id=261},{2611=31;2613=31;2612=31},{star=4;id=2721},{27212=31;27213=31;27211=31},{star=4;id=21},{212=31;211=31;213=31},{star=4;id=3001},{30012=31;30011=31;30013=31}
314,100,100,{id=3541},{35412=31;35413=31;35411=31},{star=4;id=461},{4612=31;4611=31;4613=31},{star=4;id=471},{4713=31;4711=31;4712=31},{star=4;id=791},{7912=31;7913=31;7911=31},{star=4;id=371},{3712=31;3711=31;3713=31},{star=4;id=1251},{12511=31;12513=31;12512=31}
315,100,100,{id=1171},{11712=31;11713=31;11711=31},{star=4;id=1421},{14212=31;14211=31;14213=31},{star=4;id=1611},{16113=31;16111=31;16112=31},{star=4;id=2071},{20712=31;20713=31;20711=31},{star=4;id=3141},{31413=31;31412=31;31411=31},{star=4;id=591},{5912=31;5911=31;5913=31}
316,100,100,{id=281},{2813=31;2811=31;2812=31},{star=4;id=1391},{13911=31;13913=31;13912=31},{star=4;id=2271},{22712=31;22711=31;22713=31},{star=4;id=1171},{11712=31;11713=31;11711=31},{star=4;id=3471},{34711=31;34713=31;34712=31},{star=4;id=3021},{30211=31;30213=31;30212=31}
317,100,100,{id=3541},{35412=31;35413=31;35411=31},{star=4;id=371},{3712=31;3711=31;3713=31},{star=4;id=91},{912=31;911=31;913=31},{star=4;id=691},{6912=31;6913=31;6911=31},{star=4;id=1291},{12913=31;12911=31;12912=31},{star=4;id=2071},{20712=31;20713=31;20711=31}
318,100,100,{id=91},{912=31;911=31;913=31},{star=4;id=751},{7512=31;7513=31;7511=31},{star=4;id=1501},{15012=31;15011=31;15013=31},{star=4;id=271},{2713=31;2712=31;2711=31},{star=4;id=1861},{18612=31;18611=31;18613=31},{star=4;id=3301},{33012=31;33013=31;33011=31}
