变量名,sceneID,addMp1,addMp2,activeSkillMp1,lostBloodMp1,slayAddMp1Fix,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefence,defenceIgnoreC,specialDefenceIgnore,strikeLevelC,strikeDamageC,strikeResistanceC,blockLevelC,breakBlockLevelC,blockPowerC,dodgeC,hitC,damageAddC,damageSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,mainSkillAddC,mainSkillSubC,speedC,curePowerC,natureRestraintC,buffGroup
80726,-80726,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,<>
80731,-80731,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80732,-80732,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80733,-80733,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80734,-80734,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,2,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80735,-80735,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80736,-80736,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,4,1,2,4,4,1,1,1,4,4,1,1,1,1,4,4,1,1,4,<>
80741,-80741,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,5,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80742,-80742,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,2,5,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80743,-80743,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,2,5,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80744,-80744,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,5,5,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80745,-80745,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,5,2,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80746,-80746,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,5,1,5,2,5,1,1,1,5,5,1,1,1,1,5,5,1,1,5,<>
80751,-80751,0,0,0,1,<1;1>,1,1,1,1,1,1,1,1,1,1,1,1,6,1,6,6,6,1,1,1,6,6,1,1,1,1,6,6,1,1,6,<>
