变量名,name,_desc,_mark1,_mark2,easyEffectFunc,_effect,_easy,skillTimePos,group,groupPower,ignoreControlVal,immuneBuff,dispelBuff,dispelType,overlayType,overlayLimit,skin,isShow,iconResPath,isIconFrame,effectResPath,effectAniName,effectAniChoose,effectResDelay,effectPos,effectAssignLayer,effectOffsetPos,effectShowOnAttack,onceEffectResPath,onceEffectAniName,onceEffectDelay,onceEffectPos,onceEffectAssignLayer,onceEffectOffsetPos,onceEffectWait,linkEffect,effectOnEnd,holderActionType,textResPath,deepCorrect,triggerPriority,specialVal,specialTarget,ignoreHolder,ignoreCaster,triggerBehaviors,limitTimes,lifeRoundType,lifeTimeEnd,buffshader,waveInherit,craftTriggerLimit,gateLimit,noDelWhenFakeDeath,showExplorer,explorerID,showHeldItem,heldItemID,buffActionEffect,stageArgs,na
3611115,伊裴尔塔尔,,,,addHpMax,,,1,0,206,0,<>,<>,<>,8,50,,TRUE,battle/buff_icon/logo_smsx_up.png,1,koudai_yipeiertaer/hero_yipeiertaer.skel,<effect_touqu>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_smsxtg.png,12,,<{effectHp=true;effectBackNone=false}>,,1,1,,,1,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611116,伊裴尔塔尔,,,,addHpMax,,,1,0,207,0,<>,<>,<>,8,50,,TRUE,battle/buff_icon/logo_smsx_down.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_smsxjd.png,12,,<{effectHp=true;effectBackNone=true}>,,0,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611117,伊裴尔塔尔,,,,specialDamage,,,1,1212,206,0,<>,<>,<>,8,50,,TRUE,battle/buff_icon/logo_tg_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgtg.png,12,,,,0,1,,,1,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611118,伊裴尔塔尔,,,,specialDamage,,,1,1312,207,0,<>,<>,<>,8,50,,TRUE,battle/buff_icon/logo_tg_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgjd.png,12,,,,0,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611119,伊裴尔塔尔,,,,damage,,,1,1212,206,0,<>,<>,<>,8,50,,TRUE,battle/buff_icon/logo_wg_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgtg.png,12,,,,0,1,,,1,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611120,伊裴尔塔尔,,,,damage,,,1,1312,207,0,<>,<>,<>,8,50,,TRUE,battle/buff_icon/logo_wg_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgjd.png,12,,,,0,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611121,超级胡地,,,,buff1,,,2,20,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,1,<{effectFuncs=<castBuff;castBuff>;triggerPoint=1;funcArgs=<<{bond=2;caster=2;value=0;lifeRound=99;cfgId=3611122;holder=1}>;<{bond=2;caster=2;value=2000;lifeRound=99;cfgId=3611123;holder=1}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611122,超级胡地,,,,stun,,,2,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_sh.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{typ=pause},battle/txt/txt_sh.png,12,,,,0,1,,,1,1,{4=<{3221=2}>},FALSE,,,,FALSE,,FALSE,,,,
3611123,超级胡地,,,,damageSub,,,2,0,101,0,<>,<>,<>,1,1,,FALSE,battle/buff_icon/logo_shjm_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_shjmtg.png,12,,,,0,1,,,1,1,{4=<{3221=2}>},FALSE,,,,FALSE,,FALSE,,,,
3611125,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,0,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,14,,,,0,1,"<{triggerPoint=1;onSomeFlag=<self:hasBuff(3611111) and (not self:hasBuff(3611167))>;nodeId=0};{effectFuncs=<castBuff>;triggerPoint=5;funcArgs=<<{prob=((moreE(math.floor(self:hasBuff(3611110) and self:getBuff(3611110):getValue() or 0),math.floor(self:BhpMax()*1))) or (moreE(getNowRound(),3)) or (moreE(self:getBuffOverlayCount(3611166),3))) and 1 or 0;caster=2;value=1;lifeRound=1;holder=2;cfgId=3611126}>>;onSomeFlag=<self:hasBuff(3611111) and (not self:hasBuff(3611167))>;nodeId=1}>",,1,1,{},TRUE,,<{type=1;limit=1}>,1,FALSE,,FALSE,,,,
3611126,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<3611111;3611112;3611113;3611125>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_sx1.png,12,,,,0,1,<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff;castBuff;castBuff;castBuff;castBuff>;triggerPoint=28;funcArgs=<<{caster=2;value=500;lifeRound=1;holder=2;cfgId=3611127}>;<{prob=1;caster=2;value=0;lifeRound=1;holder=2;cfgId=3611129}>;<{prob=1;caster=2;value=self:damage()*1.1;lifeRound=1;holder=13;cfgId=3611142}>;<{prob=0;caster=2;value=1;lifeRound=1;holder=13;cfgId=3611121}>;<{caster=2;value=0;lifeRound=99;holder=2;cfgId=3611167}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611127,伊裴尔塔尔,,,,addMp1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_nqtg.png,12,,,,1,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611128,伊裴尔塔尔,,,,beHealAdd,,,1,1124,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_jl1.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_jl1.png,12,,,,1,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611129,短暂免控,,,,buff1,,,1,50022,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611130,伊裴尔塔尔,,,,fieldBuff,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff;castBuff>;triggerPoint=28;funcArgs=<<{bond=1;prob=trigger.obj.force == self:force() and 1 or 0;caster=2;value=1;lifeRound=99;cfgId=3611131;holder=20}>;<{bond=1;prob=trigger.obj.force ~= self:force() and 1 or 0;caster=2;value=1;lifeRound=99;cfgId=3611132;holder=20}>>;nodeId=1}>,,1,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611131,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,1,"<{effectFuncs=<castBuff;castBuff;castBuff;castBuff;castBuff>;triggerPoint=13;funcArgs=<<{caster=2;value=self2:BhpMax()*0.135;lifeRound=99;holder=2;cfgId=3611133}>;<{caster=2;value=(self:hasBuff(3611139) and self:getBuff(3611139):getValue() or 0)+(self:hasBuff(3611133) and self:getBuff(3611133):getValue() or 0);lifeRound=99;holder=2;cfgId=3611139}>;<{caster=2;value=self2:mp1();lifeRound=1;holder=2;cfgId=3611134}>;<{prob=moreE(self:star(),8) and 1 or 0;caster=2;value=self2:BspecialDamage()*0.09;lifeRound=99;holder=2;cfgId=3611135}>;<{prob=moreE(self:star(),8) and 1 or 0;caster=2;value=self2:Bdamage()*0.09;lifeRound=99;holder=2;cfgId=3611136}>>;nodeId=1}>",,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
3611132,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,1,"<{effectFuncs=<castBuff;castBuff;castBuff;castBuff;castBuff>;triggerPoint=13;funcArgs=<<{caster=2;value=self2:BhpMax()*0.135;lifeRound=99;holder=2;cfgId=3611133}>;<{caster=2;value=(self:hasBuff(3611139) and self:getBuff(3611139):getValue() or 0)+(self:hasBuff(3611133) and self:getBuff(3611133):getValue() or 0);lifeRound=99;holder=2;cfgId=3611139}>;<{prob=0;caster=2;value=self2:mp1();lifeRound=1;holder=2;cfgId=3611134}>;<{prob=moreE(self:star(),8) and 1 or 0;caster=2;value=self2:BspecialDamage()*0.09;lifeRound=99;holder=2;cfgId=3611135}>;<{prob=moreE(self:star(),8) and 1 or 0;caster=2;value=self2:Bdamage()*0.09;lifeRound=99;holder=2;cfgId=3611136}>>;nodeId=1}>",,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
3611133,伊裴尔塔尔,,,,addHpMax,,,1,0,102,0,<>,<>,<>,8,10,,TRUE,battle/buff_icon/logo_smsx_up.png,1,koudai_yipeiertaer/hero_yipeiertaer.skel,<effect_huode>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_smsxtg.png,12,,<{effectHp=true;effectBackNone=false}>,,1,1,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
3611134,伊裴尔塔尔,,,,addMp1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_nqtg.png,12,,,,1,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611135,伊裴尔塔尔,,,,specialDamage,,,1,1212,102,0,<>,<>,<>,8,10,,TRUE,battle/buff_icon/logo_tg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgtg.png,12,,,,1,1,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
3611136,伊裴尔塔尔,,,,damage,,,1,1212,102,0,<>,<>,<>,8,10,,TRUE,battle/buff_icon/logo_wg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgtg.png,12,,,,1,1,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
3611137,伊裴尔塔尔,,,,damageSub,,,1,0,101,0,<>,<>,<>,8,10,,TRUE,battle/buff_icon/logo_shjm_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_shjmtg.png,12,,,,1,1,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
3611138,伊裴尔塔尔,,,,damageAdd,,,1,1202,101,0,<>,<>,<>,8,10,,TRUE,battle/buff_icon/logo_shjc_up.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_shtg.png,12,,,,1,1,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
3611139,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,,,1,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611140,伊裴尔塔尔,,,,buff1,,,1,50029,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_mysh1.png,12,,,,0,0,,,1,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611141,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{effectFuncs=<castBuff>;triggerPoint=8;nodeId=1;funcArgs=<<{prob=target2:hasBuffGroup(20) and 1 or 0;caster=2;value=self:damage()*0.5;lifeRound=1;holder=8;cfgId=3611142}>>;extraAttackTrigger=2}>,,1,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611142,伊裴尔塔尔,,,,buffDamage,,,2,0,101,0,<>,<>,<>,0,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,<{damageType=2;processId=3}>,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611143,伊裴尔塔尔,,,,suckBlood,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_xx.png,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611144,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,<{effectFuncs=<castBuff>;triggerPoint=7;nodeId=1;funcArgs=<<{prob=self2:hasBuffGroup(c.groupdebuffs_oc()) and 1 or 0;caster=8;value=800;lifeRound=1;holder=1;cfgId=3611145}>>;extraAttackTrigger=2};{effectFuncs=<castBuff>;triggerPoint=1;funcArgs=<<{bond=2;caster=2;value=0;lifeRound=99;cfgId=3611146;holder=2}>>;nodeId=2}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611145,伊裴尔塔尔,,,,finalSkillAddRate,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611146,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,,,1,1,{},FALSE,,,1,FALSE,,FALSE,,,,
3611151,伊裴尔塔尔,,,,toutg,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff;castBuff>;triggerPoint=1;funcArgs=<<{childBind=<2;1>;caster=2;value=target:BspecialDamage()*0.1;lifeRound=99;cfgId=3611152;holder=2}>;<{childBind=<1;1>;caster=2;value=-target:BspecialDamage()*0.1;lifeRound=99;cfgId=3611153;holder=1}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611152,伊裴尔塔尔,,,,specialDamage,,,1,1212,101,0,<>,<>,<>,8,3,,TRUE,battle/buff_icon/logo_tg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611153,伊裴尔塔尔,,,,specialDamage,,,1,1312,101,0,<>,<>,<>,8,3,,TRUE,battle/buff_icon/logo_tg_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611154,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff;castBuff>;triggerPoint=1;funcArgs=<<{childBind=<2;1>;caster=2;value=target:Bdamage()*0.1;lifeRound=99;cfgId=3611155;holder=2}>;<{childBind=<1;1>;caster=2;value=-target:Bdamage()*0.1;lifeRound=99;cfgId=3611156;holder=1}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611155,伊裴尔塔尔,,,,damage,,,1,1212,101,0,<>,<>,<>,8,3,,TRUE,battle/buff_icon/logo_wg_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611156,伊裴尔塔尔,,,,damage,,,1,1312,101,0,<>,<>,<>,8,3,,TRUE,battle/buff_icon/logo_wg_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611157,伊裴尔塔尔,,,,toutg,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,1,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff;castBuff>;triggerPoint=1;funcArgs=<<{childBind=<2;1>;caster=2;value=target:Bspeed()*0.1;lifeRound=99;cfgId=3611158;holder=2}>;<{childBind=<1;1>;caster=2;value=-target:Bspeed()*0.1;lifeRound=99;cfgId=3611159;holder=1}>>;nodeId=1}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611158,伊裴尔塔尔,,,,speed,,,1,1221,101,0,<>,<>,<>,8,3,,TRUE,battle/buff_icon/logo_sd_up.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_sdtg.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611159,伊裴尔塔尔,,,,speed,,,1,1321,101,0,<>,<>,<>,8,3,,TRUE,battle/buff_icon/logo_sd_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_sdjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611160,伊裴尔塔尔,,,,healTodamage,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_smzz.png,0,koudai_yipeiertaer/hero_yipeiertaer.skel,<effect_xuangao_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_smzz.png,12,,,,0,0,<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff;castBuff;castBuff>;triggerPoint=1;funcArgs=<<{bond=1;caster=2;value=-(self:lostHp()/ self:hpMax() )*0.5*target2:specialDamage();lifeRound=99;cfgId=3611161;holder=1}>;<{bond=1;caster=2;value=-(self:lostHp()/ self:hpMax() )*0.5*target2:damage();lifeRound=99;cfgId=3611162;holder=1}>;<{bond=1;caster=2;value=(self:lostHp()/ self:hpMax() )*5000;lifeRound=99;cfgId=3611163;holder=2}>>;nodeId=1};{effectFuncs=<castBuff;castBuff;castBuff>;triggerPoint=18;funcArgs=<<{bond=1;caster=2;value=-(self:lostHp()/ self:hpMax() )*0.5*target2:specialDamage();lifeRound=99;cfgId=3611161;holder=1}>;<{bond=1;caster=2;value=-(self:lostHp()/ self:hpMax() )*0.5*target2:damage();lifeRound=99;cfgId=3611162;holder=1}>;<{bond=1;caster=2;value=(self:lostHp()/ self:hpMax() )*5000;lifeRound=99;cfgId=3611163;holder=2}>>;nodeId=2};{effectFuncs=<castBuff>;triggerPoint=28;funcArgs=<<{bond=1;caster=2;value=0;lifeRound=99;cfgId=3611164;holder=1}>>;nodeId=3}>,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611161,伊裴尔塔尔,,,,specialDamage,,,1,0,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_tg_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_tgjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611162,伊裴尔塔尔,,,,damage,,,1,0,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_wg_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_wgjd.png,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611163,伊裴尔塔尔,,,,finalDamageDeepen,,,1,0,102,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_shjm_down.png,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611164,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611165,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,0,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,<{effectFuncs=<castBuff>;triggerPoint=3;funcArgs=<<{caster=2;value=0;lifeRound=99;holder=2;cfgId=3611166}>>;nodeId=1}>,,2,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611166,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,2,99,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,,,2,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611167,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,0,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,1,1,,,1,1,{},TRUE,,,1,FALSE,,FALSE,,,,
3611170,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611171,伊裴尔塔尔,,,,damageLink,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,battle/buff_icon/logo_swlj.png,1,koudai_yipeiertaer/hero_yipeiertaer.skel,<effect_lianjie_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},battle/txt/txt_swlj.png,12,,,,0,0,"<{triggerPoint=1;nodeId=0};{effectFuncs=<castBuff>;triggerPoint=10;funcArgs=<<{prob=target:hasBuff(3611170) and 0.3 or 0.4;caster=2;value=1;lifeRound=1;holder=1;cfgId=3611121}>>;onSomeFlag=<moreE(self:getBuffOverlayCount(3611174),2)>;nodeId=1}>",,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611172,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,"<{effectFuncs=<castBuff>;triggerPoint=8;funcArgs=<<{prob=1;caster=2;value=0;lifeRound=1;holder=2;cfgId=3611175}>>;onSomeFlag=<moreE(self:getBuffOverlayCount(3611174),2)>;nodeId=1}>",,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611173,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611174,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<>,<>,2,2,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
3611175,伊裴尔塔尔,,,,buff1,,,1,0,101,0,<>,<3611174>,<>,1,1,,TRUE,,0,,<effect_loop>,{type=0},0,0,1,{'x'=0;'y'=0},FALSE,,effect,0,0,,{'x'=0;'y'=0},FALSE,,,{},,12,,,,0,0,,,1,1,{},FALSE,,,,FALSE,,FALSE,,,,
