变量名,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,icon,headIcon,treeID,attrDesc,attrDesc_tw,attrDesc_en,attrDesc_vn,attrDesc_kr,attrDesc_pt,attrDesc_th,attrAddDesc1,attrAddDesc1_tw,attrAddDesc1_en,attrAddDesc1_vn,attrAddDesc1_kr,attrAddDesc1_pt,attrAddDesc1_th,attrAddDesc2,attrAddDesc2_tw,attrAddDesc2_en,attrAddDesc2_vn,attrAddDesc2_kr,attrAddDesc2_pt,attrAddDesc2_th,levelUp,preTalentID,preTalentLevel,roleLevel,costID,addType1,natureType1,damageRelation1,attrType1,attrNum1,addType2,natureType2,damageRelation2,attrType2,attrNum2
338,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_ys1.png,3,提升所有精灵岩石系技能伤害减免,提升所有精靈岩石系技能傷害減免,Boosts the damage reduction of Rock-type moves of all Pokémons,Tăng giảm sát thương của các chiêu thức hệ Đá của tất cả Pokémon,모든 포켓몬의 바위 타입 스킬의 피해 감소를 증가시킨다,Aumenta a redução de dano dos movimentos do tipo Pedra de todos os Pokémons,เพิ่มการลดความเสียหายของท่าประเภทหินของโปเกมอนทั้งหมด,岩石系技能伤害减免增加,岩石系技能傷害減免增加,Rock-type damage reduction increases,Tăng giảm sát thương hệ Đá,바위 타입 스킬 피해 감소 증가,Redução de dano do tipo Pedra aumenta,เพิ่มการลดความเสียหายประเภทหิน,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,337,7,65,7,3,,<>,66,100,,,<>,,
339,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_yl.png,3,提升所有幽灵系精灵的生命,提升所有幽靈系精靈的生命,Increase HP of all Ghost-type Pokémons,Tăng HP của tất cả Pokémon hệ Ma,모든 고스트 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Fantasma,เพิ่ม HP ของโปเกมอนประเภทผีทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,14,<>,1,0.50%,,,<>,,
340,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_yl.png,3,提升所有精灵幽灵系技能伤害加成,提升所有精靈幽靈系技能傷害加成,Boosts the damage bonus of Ghost-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Ma của tất cả Pokémon,모든 포켓몬의 고스트 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Fantasma de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทผีของโปเกมอนทั้งหมด,幽灵系技能伤害加成增加,幽靈系技能傷害加成增加,Increase damage bonus of Ghost-type moves,Tăng thưởng sát thương của các chiêu thức hệ Ma,고스트 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Fantasma,เพิ่มโบนัสความเสียหายของท่าประเภทผี,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,339,7,65,6,3,,<>,49,100,,,<>,,
341,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_yl.png,3,提升所有精灵幽灵系技能伤害减免,提升所有精靈幽靈系技能傷害減免,Boosts the damage of Ghost-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Ma của tất cả Pokémon,모든 포켓몬의 고스트 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Fantasma de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทผีของโปเกมอนทั้งหมด,幽灵系技能伤害减免增加,幽靈系技能傷害減免增加,Ghost-type damage reduction increases,Tăng giảm sát thương hệ Ma,고스트 타입 스킬 피해 감소 증가,Redução de dano do tipo Fantasma aumenta,เพิ่มการลดความเสียหายประเภทผี,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,340,7,65,7,3,,<>,67,100,,,<>,,
342,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_lx.png,3,提升所有龙系精灵的生命,提升所有龍系精靈的生命,Increase HP of all Dragon-type Pokémons,Tăng HP của tất cả Pokémon hệ Rồng,모든 드래곤 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Dragão,เพิ่ม HP ของโปเกมอนประเภทมังกรทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,15,<>,1,0.50%,,,<>,,
343,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_lx.png,3,提升所有精灵龙系技能伤害加成,提升所有精靈龍系技能傷害加成,Boosts the damage bonus of Dragon-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Rồng của tất cả Pokémon,모든 포켓몬의 드래곤 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Dragão de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทมังกรของโปเกมอนทั้งหมด,龙系技能伤害加成增加,龍系技能傷害加成增加,Increases damage bonus of Dragon-type moves,Tăng thưởng sát thương của các chiêu thức hệ Rồng,드래곤 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Dragão,เพิ่มโบนัสความเสียหายของท่าประเภทมังกร,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,342,7,65,6,3,,<>,50,100,,,<>,,
344,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_lx.png,3,提升所有精灵龙系技能伤害减免,提升所有精靈龍系技能傷害減免,Boosts the damage of Dragon-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Rồng của tất cả Pokémon,모든 포켓몬의 드래곤 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Dragão de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทมังกรของโปเกมอนทั้งหมด,龙系技能伤害减免增加,龍系技能傷害減免增加,Dragon-type damage reduction increases,Tăng giảm sát thương hệ Rồng,드래곤 타입 스킬 피해 감소 증가,Redução de dano do tipo Dragão aumenta,เพิ่มการลดความเสียหายประเภทมังกร,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,343,7,65,7,3,,<>,68,100,,,<>,,
345,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_ex.png,3,提升所有恶系精灵的生命,提升所有惡系精靈的生命,Increase HP of all Dark-type Pokémons,Tăng HP của tất cả Pokémon hệ Bóng tối,모든 악 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Sombrio,เพิ่ม HP ของโปเกมอนประเภทความมืดทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,16,<>,1,0.50%,,,<>,,
346,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_ex.png,3,提升所有精灵恶系技能伤害加成,提升所有精靈惡系技能傷害加成,Boosts the damage bonus of Dark-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Bóng tối của tất cả Pokémon,모든 포켓몬의 악 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Sombrio de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทความมืดของโปเกมอนทั้งหมด,恶系技能伤害加成增加,惡系技能傷害加成增加,Increases damage bonus of Dark-type moves,Tăng thưởng sát thương của các chiêu thức hệ Bóng tối,악 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Sombrio,เพิ่มโบนัสความเสียหายของท่าประเภทความมืด,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,345,7,65,6,3,,<>,51,100,,,<>,,
347,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_ex.png,3,提升所有精灵恶系技能伤害减免,提升所有精靈惡系技能傷害減免,Boosts the damage of Dark-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Bóng tối của tất cả Pokémon,모든 포켓몬의 악 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Sombrio de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทความมืดของโปเกมอนทั้งหมด,恶系技能伤害减免增加,惡系技能傷害減免增加,Dark-type damage reduction increases,Tăng giảm sát thương hệ Bóng tối,악 타입 스킬 피해 감소 증가,Redução de dano do tipo Sombrio aumenta,เพิ่มการลดความเสียหายประเภทความมืด,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,346,7,65,7,3,,<>,69,100,,,<>,,
348,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_gx.png,3,提升所有钢系精灵的生命,提升所有鋼系精靈的生命,Increase HP of all Metal-type Pokémons,Tăng HP của tất cả Pokémon hệ Kim loại,모든 강철 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Metal,เพิ่ม HP ของโปเกมอนประเภทโลหะทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,17,<>,1,0.50%,,,<>,,
349,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_gx.png,3,提升所有精灵钢系技能伤害加成,提升所有精靈鋼系技能傷害加成,Boosts the damage bonus of Steel-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Thép của tất cả Pokémon,모든 포켓몬의 강철 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Aço de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทเหล็กของโปเกมอนทั้งหมด,钢系技能伤害加成增加,鋼系技能傷害加成增加,Increases damage bonus of Steel-type moves,Tăng thưởng sát thương của các chiêu thức hệ Thép,강철 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Aço,เพิ่มโบนัสความเสียหายของท่าประเภทเหล็ก,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,348,7,65,6,3,,<>,52,100,,,<>,,
350,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_gx.png,3,提升所有精灵钢系技能伤害减免,提升所有精靈鋼系技能傷害減免,Boosts the damage of Steel-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Thép của tất cả Pokémon,모든 포켓몬의 강철 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Aço de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทเหล็กของโปเกมอนทั้งหมด,钢系技能伤害减免增加,鋼系技能傷害減免增加,Steel-type damage reduction increases,Tăng giảm sát thương hệ Thép,강철 타입 스킬 피해 감소 증가,Redução de dano do tipo Aço aumenta,เพิ่มการลดความเสียหายประเภทเหล็ก,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,349,7,65,7,3,,<>,70,100,,,<>,,
351,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_smz.png,city/develop/talent/txt_yj.png,3,提升所有妖精系精灵的生命,提升所有妖精系精靈的生命,Increase HP of all Fairy-type Pokémons,Tăng HP của tất cả Pokémon hệ Tiên,모든 페어리 타입 포켓몬의 HP를 증가시킨다,Aumenta o HP de todos os Pokémons do tipo Fada,เพิ่ม HP ของโปเกมอนประเภทแฟรี่ทั้งหมด,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,65,5,4,18,<>,1,0.50%,,,<>,,
352,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_ysg.png,city/develop/talent/txt_yj.png,3,提升所有精灵妖精系技能伤害加成,提升所有精靈妖精系技能傷害加成,Boosts the damage bonus of Fairy-type moves of all Pokémons,Tăng thưởng sát thương của các chiêu thức hệ Tiên của tất cả Pokémon,모든 포켓몬의 페어리 타입 스킬 피해 보너스를 증가시킨다,Aumenta o bônus de dano dos movimentos do tipo Fada de todos os Pokémons,เพิ่มโบนัสความเสียหายของท่าประเภทแฟรี่ของโปเกมอนทั้งหมด,妖精系技能伤害加成增加,妖精系技能傷害加成增加,Increases damage bonus of Fairy-type moves,Tăng thưởng sát thương của các chiêu thức hệ Tiên,페어리 타입 스킬 피해 보너스 증가,Aumenta o bônus de dano de movimentos do tipo Fada,เพิ่มโบนัสความเสียหายของท่าประเภทแฟรี่,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,351,7,65,6,3,,<>,53,100,,,<>,,
353,元素天赋,元素天賦,Element Talent,Thiên phú Nâng cao,원소 특성,Talento Elemental,พรสวรรค์ธาตุ,city/develop/talent/icon_shjm.png,city/develop/talent/txt_yj.png,3,提升所有精灵妖精系技能伤害减免,提升所有精靈妖精系技能傷害減免,Boosts the damage of Fairy-type moves of all Pokémons,Tăng sát thương của các chiêu thức hệ Tiên của tất cả Pokémon,모든 포켓몬의 페어리 타입 스킬의 피해 감소를 증가시킨다,Aumenta o dano dos movimentos do tipo Fada de todos os Pokémons,เพิ่มความเสียหายของท่าประเภทแฟรี่ของโปเกมอนทั้งหมด,妖精系技能伤害减免增加,妖精系技能傷害減免增加,Fairy-type damage reduction increases,Tăng giảm sát thương hệ Tiên,페어리 타입 스킬 피해 감소 증가,Redução de dano do tipo Fada aumenta,เพิ่มการลดความเสียหายประเภทแฟรี่,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,352,7,65,7,3,,<>,71,100,,,<>,,
400,竞技场,競技場,Arena,Sân thi đấu,아레나,Arena,อารีน่า,city/develop/talent/icon_smz.png,,4,提升精灵在竞技场内的生命,提升精靈在競技場內的生命,Increase Pokémon's HP in the arena,Tăng HP của Pokémon trong đấu trường,모든 포켓몬의 아레나에서의 HP를 증가시킨다,Aumenta o HP do Pokémon na arena,เพิ่ม HP ของโปเกมอนในอารีน่า,生命增加,生命增加,HP increases,Tăng HP,HP 증가,HP aumenta,เพิ่ม HP,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,75,9,6,2,<>,1,0.75%,,2,<>,,
401,竞技场,競技場,Arena,Sân thi đấu,아레나,Arena,อารีน่า,city/develop/talent/icon_shjc.png,,4,提升精灵在竞技场内的战斗能力,提升寶可夢在競技場內的戰鬥能力,Increase Pokémon's combat ability in the Arena,Tăng khả năng chiến đấu của Pokémon trong Đấu trường,아레나 내 포켓몬의 전투 능력 향상,Aumenta a capacidade de combate do Pokémon na Arena,เพิ่มความสามารถในการต่อสู้ของโปเกมอนในอารีน่า,伤害加成增加,傷害加成增加,Damage Bonus increases,Tăng thưởng Sát thương,대미지 보너스 증가,Bônus de Dano aumenta,เพิ่มโบนัสความเสียหาย,伤害减免增加,404,404,404,404,,,10,400,7,75,10,6,2,<>,22,40,6,2,<>,23,40
402,竞技场,競技場,Arena,Sân thi đấu,아레나,Arena,อารีน่า,city/develop/talent/icon_shjm.png,,4,提升精灵在竞技场内的战斗能力,提升寶可夢在競技場內的戰鬥能力,Increase Pokémon's combat ability in the Arena,Tăng khả năng chiến đấu của Pokémon trong Đấu trường,아레나 내 포켓몬의 전투 능력 향상,Aumenta a capacidade de combate do Pokémon na Arena,เพิ่มความสามารถในการต่อสู้ของโปเกมอนในอารีน่า,必杀伤害加成增加,必殺傷害加成增加,Critical Damage Bonus increases,Tăng thưởng Sát thương Chí mạng,필살 대미지 보너스 증가,Bônus de Dano Crítico aumenta,เพิ่มโบนัสความเสียหายคริติคอล,必杀伤害减免增加,404,404,404,404,,,10,401,7,75,11,6,2,<>,24,40,6,2,<>,25,40
412,石英大会,石英大會,Indigo Plateau Conference,Thạch anh đại hội,석영 대회,Conferência do Planalto Índigo,การประชุมที่ราบสูงอินดิโก,city/develop/talent/icon_smz.png,,4,提升精灵在石英大会内的生命,提升寶可夢在石英大會內的生命,Increase Pokémon's HP in the Indigo Plateau Conference,Tăng HP của Pokémon trong Hội nghị Cao nguyên Chàm,석영 대회 내 포켓몬의 생명력 향상,Aumenta o HP do Pokémon na Conferência do Planalto Índigo,เพิ่ม HP ของโปเกมอนในการประชุมที่ราบสูงอินดิโก,生命增加,生命增加,HP increases,Tăng HP,생명력 증가,HP aumenta,เพิ่มพลังชีวิต,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,75,9,6,6,<>,1,0.75%,,6,<>,,
413,石英大会,石英大會,Indigo Plateau Conference,Thạch anh đại hội,석영 대회,Conferência do Planalto Índigo,การประชุมที่ราบสูงอินดิโก,city/develop/talent/icon_shjc.png,,4,提升精灵在石英大会内的战斗能力,提升寶可夢在石英大會內的戰鬥能力,Increase Pokémon's combat ability in the Indigo Plateau Conference,Tăng khả năng chiến đấu của Pokémon trong Hội nghị Cao nguyên Chàm,석영 대회 내 포켓몬의 전투 능력 향상,Aumenta a capacidade de combate do Pokémon na Conferência do Planalto Índigo,เพิ่มความสามารถในการต่อสู้ของโปเกมอนในการประชุมที่ราบสูงอินดิโก,伤害加成增加,傷害加成增加,Damage Bonus increases,Tăng thưởng Sát thương,대미지 보너스 증가,Bônus de Dano aumenta,เพิ่มโบนัสความเสียหาย,伤害减免增加,404,404,404,404,,,10,412,7,75,10,6,6,<>,22,40,6,6,<>,23,40
414,石英大会,石英大會,Indigo Plateau Conference,Thạch anh đại hội,석영 대회,Conferência do Planalto Índigo,การประชุมที่ราบสูงอินดิโก,city/develop/talent/icon_shjm.png,,4,提升精灵在石英大会内的战斗能力,提升寶可夢在石英大會內的戰鬥能力,Increase Pokémon's combat ability in the Indigo Plateau Conference,Tăng khả năng chiến đấu của Pokémon trong Hội nghị Cao nguyên Chàm,석영 대회 내 포켓몬의 전투 능력 향상,Aumenta a capacidade de combate do Pokémon na Conferência do Planalto Índigo,เพิ่มความสามารถในการต่อสู้ของโปเกมอนในการประชุมที่ราบสูงอินดิโก,必杀伤害加成增加,必殺傷害加成增加,Critical Damage Bonus increases,Tăng thưởng Sát thương Chí mạng,필살 대미지 보너스 증가,Bônus de Dano Crítico aumenta,เพิ่มโบนัสความเสียหายคริติคอล,必杀伤害减免增加,404,404,404,404,,,10,413,7,75,11,6,6,<>,24,40,6,6,<>,25,40
421,公会战,公會戰,Guild War,Chiến tranh Bang hội,길드전,Guerra de Guildas,สงครามกิลด์,city/develop/talent/icon_smz.png,,4,提升精灵在公会战内的生命,提升寶可夢在公會戰內的生命,Increase Pokémon's HP in Guild Wars,Tăng HP của Pokémon trong Chiến tranh Bang hội,길드전 내 포켓몬의 생명력 향상,Aumenta o HP do Pokémon nas Guerras de Guildas,เพิ่ม HP ของโปเกมอนในสงครามกิลด์,生命增加,生命增加,HP increases,Tăng HP,생명력 증가,HP aumenta,เพิ่มพลังชีวิต,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,75,9,6,9,<>,1,0.75%,,9,<>,,
422,公会战,公會戰,Guild War,Chiến tranh Bang hội,길드전,Guerra de Guildas,สงครามกิลด์,city/develop/talent/icon_shjc.png,,4,提升精灵在公会战内的战斗能力,提升寶可夢在公會戰內的戰鬥能力,Increase Pokémon's combat ability in Guild Wars,Tăng khả năng chiến đấu của Pokémon trong Chiến tranh Bang hội,길드전 내 포켓몬의 전투 능력 향상,Aumenta a capacidade de combate do Pokémon nas Guerras de Guildas,เพิ่มความสามารถในการต่อสู้ของโปเกมอนในสงครามกิลด์,伤害加成增加,傷害加成增加,Damage Bonus increases,Tăng thưởng Sát thương,대미지 보너스 증가,Bônus de Dano aumenta,เพิ่มโบนัสความเสียหาย,伤害减免增加,404,404,404,404,,,10,421,7,75,10,6,9,<>,22,40,6,9,<>,23,40
423,公会战,公會戰,Guild War,Chiến tranh Bang hội,길드전,Guerra de Guildas,สงครามกิลด์,city/develop/talent/icon_shjm.png,,4,提升精灵在公会战内的战斗能力,提升寶可夢在公會戰內的戰鬥能力,Increase Pokémon's combat ability in Guild Wars,Tăng khả năng chiến đấu của Pokémon trong Chiến tranh Bang hội,길드전 내 포켓몬의 전투 능력 향상,Aumenta a capacidade de combate do Pokémon nas Guerras de Guildas,เพิ่มความสามารถในการต่อสู้ของโปเกมอนในสงครามกิลด์,必杀伤害加成增加,必殺傷害加成增加,Critical Damage Bonus increases,Tăng thưởng Sát thương Chí mạng,필살 대미지 보너스 증가,Bônus de Dano Crítico aumenta,เพิ่มโบนัสความเสียหายคริติคอล,必杀伤害减免增加,404,404,404,404,,,10,422,7,75,11,6,9,<>,24,40,6,9,<>,25,40
424,跨服石英大会,跨服石英大會,Cross-server Indigo Plateau Conference,Hội nghị Cao nguyên Chàm Liên server,크로스 서버 석영 대회,Conferência do Planalto Índigo Inter-servidor,การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,city/develop/talent/icon_smz.png,,4,提升精灵在跨服石英大会内的生命,提升寶可夢在跨服石英大會內的生命,Increase Pokémon's HP in the Cross-server Indigo Plateau Conference,Tăng HP của Pokémon trong Hội nghị Cao nguyên Chàm Liên server,크로스 서버 석영 대회 내 포켓몬의 생명력 향상,Aumenta o HP do Pokémon na Conferência do Planalto Índigo Inter-servidor,เพิ่ม HP ของโปเกมอนในการประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,生命增加,生命增加,HP increases,Tăng HP,생명력 증가,HP aumenta,เพิ่มพลังชีวิต,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,75,9,6,10,<>,1,0.75%,,10,<>,,
425,跨服石英大会,跨服石英大會,Cross-server Indigo Plateau Conference,Hội nghị Cao nguyên Chàm Liên server,크로스 서버 석영 대회,Conferência do Planalto Índigo Inter-servidor,การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,city/develop/talent/icon_shjc.png,,4,提升精灵在跨服石英大会内的战斗能力,提升寶可夢在跨服石英大會內的戰鬥能力,Increase Pokémon's combat ability in the Cross-server Indigo Plateau Conference,Tăng khả năng chiến đấu của Pokémon trong Hội nghị Cao nguyên Chàm Liên server,크로스 서버 석영 대회 내 포켓몬의 전투 능력 향상,Aumenta a capacidade de combate do Pokémon na Conferência do Planalto Índigo Inter-servidor,เพิ่มความสามารถในการต่อสู้ของโปเกมอนในการประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,伤害加成增加,傷害加成增加,Damage Bonus increases,Tăng thưởng Sát thương,대미지 보너스 증가,Bônus de Dano aumenta,เพิ่มโบนัสความเสียหาย,伤害减免增加,404,404,404,404,,,10,424,7,75,10,6,10,<>,22,40,6,10,<>,23,40
426,跨服石英大会,跨服石英大會,Cross-server Indigo Plateau Conference,Hội nghị Cao nguyên Chàm Liên server,크로스 서버 석영 대회,Conferência do Planalto Índigo Inter-servidor,การประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,city/develop/talent/icon_shjm.png,,4,提升精灵在跨服石英大会内的战斗能力,提升寶可夢在跨服石英大會內的戰鬥能力,Increase Pokémon's combat ability in the Cross-server Indigo Plateau Conference,Tăng khả năng chiến đấu của Pokémon trong Hội nghị Cao nguyên Chàm Liên server,크로스 서버 석영 대회 내 포켓몬의 전투 능력 향상,Aumenta a capacidade de combate do Pokémon na Conferência do Planalto Índigo Inter-servidor,เพิ่มความสามารถในการต่อสู้ของโปเกมอนในการประชุมที่ราบสูงอินดิโกข้ามเซิร์ฟเวอร์,必杀伤害加成增加,必殺傷害加成增加,Critical Damage Bonus increases,Tăng thưởng Sát thương Chí mạng,필살 대미지 보너스 증가,Bônus de Dano Crítico aumenta,เพิ่มโบนัสความเสียหายคริติคอล,必杀伤害减免增加,404,404,404,404,,,10,425,7,75,11,6,10,<>,24,40,6,10,<>,25,40
427,跨服竞技场,跨服競技場,Cross-server Arena,Đấu trường Liên server,크로스 서버 아레나,Arena Inter-servidor,อารีน่าข้ามเซิร์ฟเวอร์,city/develop/talent/icon_smz.png,,4,提升精灵在跨服竞技场内的生命,提升寶可夢在跨服競技場內的生命,Increase Pokémon's HP in the Cross-server Arena,Tăng HP của Pokémon trong Đấu trường Liên server,크로스 서버 아레나 내 포켓몬의 생명력 향상,Aumenta o HP do Pokémon na Arena Inter-servidor,เพิ่ม HP ของโปเกมอนในอารีน่าข้ามเซิร์ฟเวอร์,生命增加,生命增加,HP increases,Tăng HP,생명력 증가,HP aumenta,เพิ่มพลังชีวิต,所有精灵家攻击力增加,所有精靈家攻擊力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,所有精灵家攻击力增加,,,10,,0,75,9,6,12,<>,1,0.75%,,12,<>,,
