变量名,name,name_tw,name_en,name_kr,name_vn,name_pt,name_th,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,targetType,targetArg,targetArg2,attrNatureType,attrType,attrValue,languages
63,收集15全体精灵,收集15全體精靈,Collect 15 of all Pokémons,전체 포켓몬 15마리 수집,Collect 15 of all Pokémons,Collect 15 of all Pokémons,สะสมโปเกมอนทั้งหมด 15 ตัว,#C0xFF5B545B#全体精灵幽灵系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈幽靈系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Ma tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 고스트 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Ghost-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทผีทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,15,14,0,49,100,
64,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทมังกรทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,15,0,50,100,
65,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทมังกรทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,15,0,50,100,
66,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทมังกรทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,15,0,50,100,
67,收集18全体精灵,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,Collect 18 of all Pokémons,Collect 18 of all Pokémons,สะสมโปเกมอนทั้งหมด 18 ตัว,#C0xFF5B545B#全体精灵龙系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈龍系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Rồng tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 드래곤 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dragon-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทมังกรทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,18,15,0,50,100,
68,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทความมืดทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,16,0,51,100,
69,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทความมืดทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,16,0,51,100,
70,收集9全体精灵,收集9全體精靈,Collect 9 of all Pokémons,전체 포켓몬 9마리 수집,Collect 9 of all Pokémons,Collect 9 of all Pokémons,สะสมโปเกมอนทั้งหมด 9 ตัว,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทความมืดทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,9,16,0,51,100,
71,收集15全体精灵,收集15全體精靈,Collect 15 of all Pokémons,전체 포켓몬 15마리 수집,Collect 15 of all Pokémons,Collect 15 of all Pokémons,สะสมโปเกมอนทั้งหมด 15 ตัว,#C0xFF5B545B#全体精灵恶系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈惡系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tối tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 악 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Dark-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทความมืดทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,15,16,0,51,100,
72,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทเหล็กทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,17,0,52,100,
73,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทเหล็กทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,17,0,52,100,
74,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทเหล็กทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,17,0,52,100,
75,收集18全体精灵,收集18全體精靈,Collect 18 of all Pokémons,전체 포켓몬 18마리 수집,Collect 18 of all Pokémons,Collect 18 of all Pokémons,สะสมโปเกมอนทั้งหมด 18 ตัว,#C0xFF5B545B#全体精灵钢系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈鋼系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thép tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 강철 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Steel-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทเหล็กทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,18,17,0,52,100,
76,收集3全体精灵,收集3全體精靈,Collect 3 of all Pokémons,전체 포켓몬 3마리 수집,Collect 3 of all Pokémons,Collect 3 of all Pokémons,สะสมโปเกมอนทั้งหมด 3 ตัว,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแฟรี่ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,3,18,0,53,100,
77,收集6全体精灵,收集6全體精靈,Collect 6 of all Pokémons,전체 포켓몬 6마리 수집,Collect 6 of all Pokémons,Collect 6 of all Pokémons,สะสมโปเกมอนทั้งหมด 6 ตัว,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแฟรี่ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,6,18,0,53,100,
78,收集9全体精灵,收集9全體精靈,Collect 9 of all Pokémons,전체 포켓몬 9마리 수집,Collect 9 of all Pokémons,Collect 9 of all Pokémons,สะสมโปเกมอนทั้งหมด 9 ตัว,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแฟรี่ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,9,18,0,53,100,
79,收集12全体精灵,收集12全體精靈,Collect 12 of all Pokémons,전체 포켓몬 12마리 수집,Collect 12 of all Pokémons,Collect 12 of all Pokémons,สะสมโปเกมอนทั้งหมด 12 ตัว,#C0xFF5B545B#全体精灵妖精系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈妖精系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Tiên tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 페어리 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fairy-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทแฟรี่ทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,12,18,0,53,100,
101,收集250全体精灵,收集250全體精靈,Collect 250 of all Pokémons,전체 포켓몬 250마리 수집,Collect 250 of all Pokémons,Collect 250 of all Pokémons,สะสมโปเกมอนทั้งหมด 250 ตัว,#C0xFF5B545B#全体精灵物防提升 #C0xFF60C456#3%,#C0xFF5B545B#全體精靈物防提升 #C0xFF60C456#3%,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,,#C0xFF5B545B#전체 포켓몬 방어 증가: #C0xFF60C456#3%,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#P.DEF ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,250,,0,9,300,
102,收集300全体精灵,收集300全體精靈,Collect 300 of all Pokémons,전체 포켓몬 300마리 수집,Collect 300 of all Pokémons,Collect 300 of all Pokémons,สะสมโปเกมอนทั้งหมด 300 ตัว,#C0xFF5B545B#全体精灵特防提升 #C0xFF60C456#3%,#C0xFF5B545B#全體精靈特防提升 #C0xFF60C456#3%,#C0xFF5B545B#SP.DEF of all Pokémons increases#C0xFF60C456#3%,,#C0xFF5B545B#전체 포켓몬 특수방어 증가: #C0xFF60C456#3%,#C0xFF5B545B#SP.DEF of all Pokémons increases#C0xFF60C456#3%,#C0xFF5B545B#SP.DEF ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,300,,0,10,300,
103,收集350全体精灵,收集350全體精靈,Collect 350 of all Pokémons,전체 포켓몬 350마리 수집,Collect 350 of all Pokémons,Collect 350 of all Pokémons,สะสมโปเกมอนทั้งหมด 350 ตัว,#C0xFF5B545B#全体精灵暴击抗性提升#C0xFF60C456#3%,#C0xFF5B545B#全體精靈暴擊抗性提升#C0xFF60C456#3%,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Kháng Bạo tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 치명타 내성 증가: #C0xFF60C456#3%,#C0xFF5B545B#Critical hit resistance of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#ความต้านทานคริติคอลของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,350,,0,16,300,
104,收集400全体精灵,收集400全體精靈,Collect 400 of all Pokémons,전체 포켓몬 400마리 수집,Collect 400 of all Pokémons,Collect 400 of all Pokémons,สะสมโปเกมอนทั้งหมด 400 ตัว,#C0xFF5B545B#全体精灵物防提升#C0xFF60C456#3%,#C0xFF5B545B#全體精靈物防提升#C0xFF60C456#3%,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B# Toàn bộ Pokémon - Vật Phòng tăng #C0xFF60C456#3%,#C0xFF5B545B#전체 포켓몬 방어 증가: #C0xFF60C456#3%,#C0xFF5B545B#P.DEF of all Pokémons increases by #C0xFF60C456#3%,#C0xFF5B545B#P.DEF ของโปเกมอนทั้งหมดเพิ่มขึ้น #C0xFF60C456#3%,1,400,,0,9,300,
111,收集25全体精灵,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,Collect 25 of all Pokémons,Collect 25 of all Pokémons,สะสมโปเกมอนทั้งหมด 25 ตัว,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทปกติทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,25,1,0,36,100,
112,收集40全体精灵,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,Collect 40 of all Pokémons,Collect 40 of all Pokémons,สะสมโปเกมอนทั้งหมด 40 ตัว,#C0xFF5B545B#全体精灵一般系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈一般系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Thường tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 노말 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Normal-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทปกติทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,40,1,0,36,100,
115,收集25全体精灵,收集25全體精靈,Collect 25 of all Pokémons,전체 포켓몬 25마리 수집,Collect 25 of all Pokémons,Collect 25 of all Pokémons,สะสมโปเกมอนทั้งหมด 25 ตัว,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,25,2,0,37,100,
116,收集40全体精灵,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,Collect 40 of all Pokémons,Collect 40 of all Pokémons,สะสมโปเกมอนทั้งหมด 40 ตัว,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,40,2,0,37,100,
117,收集60全体精灵,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,Collect 60 of all Pokémons,Collect 60 of all Pokémons,สะสมโปเกมอนทั้งหมด 60 ตัว,#C0xFF5B545B#全体精灵火系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈火系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Lửa tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 불꽃 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Fire-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,60,2,0,37,100,
119,收集40全体精灵,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,Collect 40 of all Pokémons,Collect 40 of all Pokémons,สะสมโปเกมอนทั้งหมด 40 ตัว,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,40,3,0,38,100,
120,收集60全体精灵,收集60全體精靈,Collect 60 of all Pokémons,전체 포켓몬 60마리 수집,Collect 60 of all Pokémons,Collect 60 of all Pokémons,สะสมโปเกมอนทั้งหมด 60 ตัว,#C0xFF5B545B#全体精灵水系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈水系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Nước tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 물 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Water-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทน้ำทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,60,3,0,38,100,
121,收集30全体精灵,收集30全體精靈,Collect 30 of all Pokémons,전체 포켓몬 30마리 수집,Collect 30 of all Pokémons,Collect 30 of all Pokémons,สะสมโปเกมอนทั้งหมด 30 ตัว,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพืชทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,30,4,0,39,100,
122,收集40全体精灵,收集40全體精靈,Collect 40 of all Pokémons,전체 포켓몬 40마리 수집,Collect 40 of all Pokémons,Collect 40 of all Pokémons,สะสมโปเกมอนทั้งหมด 40 ตัว,#C0xFF5B545B#全体精灵草系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈草系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Cỏ tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 풀 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Grass-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทพืชทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,40,4,0,39,100,
126,收集20全体精灵,收集20全體精靈,Collect 20 of all Pokémons,전체 포켓몬 20마리 수집,Collect 20 of all Pokémons,Collect 20 of all Pokémons,สะสมโปเกมอนทั้งหมด 20 ตัว,#C0xFF5B545B#全体精灵电系伤害加成提升#C0xFF60C456#1%,#C0xFF5B545B#全體精靈電系傷害加成提升#C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B# Toàn bộ Pokémon - Tăng Thương Hệ Điện tăng #C0xFF60C456#1%,#C0xFF5B545B#전체 포켓몬 전기 타입 피해 보너스 증가: #C0xFF60C456#1%,#C0xFF5B545B#Damage of all Electric-type attacks increases by #C0xFF60C456#1%,#C0xFF5B545B#ความเสียหายของการโจมตีประเภทไฟฟ้าทั้งหมดเพิ่มขึ้น #C0xFF60C456#1%,2,20,5,0,40,100,
