变量名,huodongID,rank,award,pointLeast,desc,desc_en
732,1087,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
733,1088,1,{502=188;539=128;9076=1;card={id=9221}},20000,红色闪电超级巨钳螳螂+万能碎片+头像框,无奖励吗
734,1088,2,{521=158;539=108;card={id=9221}},15000,红色闪电超级巨钳螳螂+万能碎片,无奖励吗
735,1088,3,{521=158;539=88;card={id=9221}},10000,红色闪电超级巨钳螳螂+万能碎片,无奖励吗
736,1088,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
737,1088,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
738,1088,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
739,1088,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
740,1089,1,{502=188;539=128;9047=1;card={id=9091}},20000,闪光超级暴雪王+万能碎片+头像框,无奖励吗
741,1089,2,{521=158;539=108;card={id=9091}},15000,闪光超级暴雪王+万能碎片,无奖励吗
742,1089,3,{521=158;539=88;card={id=9091}},10000,闪光超级暴雪王+万能碎片,无奖励吗
743,1089,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
744,1089,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
745,1089,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
746,1089,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
747,1090,1,{502=188;539=128;9053=1;card={id=9181}},20000,冠军皮卡丘+万能碎片+头像框,无奖励吗
748,1090,2,{521=158;539=108;card={id=9181}},15000,冠军皮卡丘+万能碎片,无奖励吗
749,1090,3,{521=158;539=88;card={id=9181}},10000,冠军皮卡丘+万能碎片,无奖励吗
750,1090,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
751,1090,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
752,1090,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
753,1090,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
754,1091,1,{502=188;539=128;9006=1;card={id=9111}},20000,蕾冠王·白马+万能碎片+头像框,无奖励吗
755,1091,2,{521=158;539=108;card={id=9111}},15000,蕾冠王·白马+万能碎片,无奖励吗
756,1091,3,{521=158;539=88;card={id=9111}},10000,蕾冠王·白马+万能碎片,无奖励吗
757,1091,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
758,1091,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
759,1091,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
760,1091,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
761,1092,1,{502=188;539=128;9002=1;card={id=9061}},20000,闪光超级路卡利欧+万能碎片+头像框,无奖励吗
762,1092,2,{521=158;539=108;card={id=9061}},15000,闪光超级路卡利欧+万能碎片,无奖励吗
763,1092,3,{521=158;539=88;card={id=9061}},10000,闪光超级路卡利欧+万能碎片,无奖励吗
764,1092,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
765,1092,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
766,1092,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
767,1092,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
768,1092,1,{502=188;539=128;8194=1;card={id=7102}},20000,苍响+万能碎片+头像框,无奖励吗
769,1092,2,{521=158;539=108;card={id=7102}},15000,苍响+万能碎片,无奖励吗
770,1092,3,{521=158;539=88;card={id=7102}},10000,苍响+万能碎片,无奖励吗
771,1092,6,{521=108;539=88;502=188},8000,升星必备万能碎片,无奖励吗
772,1092,10,{521=88;539=58;502=158},6000,升星必备万能碎片,无奖励吗
773,1092,20,{521=58;539=38;502=128},2000,升星必备万能碎片,无奖励吗
774,1092,30,{521=38;502=88},1000,升星必备万能碎片,无奖励吗
