变量名,room,_roomType,_beizhu,icon,weight,group,name,name_tw,name_en,name_vn,name_kr,name_pt,name_th,monsterType,type,desc,desc_tw,desc_en,desc_vn,desc_kr,desc_pt,desc_th,monster,fightC,pointC,drops,buff,event,boxType,gold,coin,randomLibs,randomLibs2
228,38,,,city/adventure/random_tower/icon/img_kndr@.png,100,1,困难的敌人,困難的敵人,Difficult enemy,Kẻ địch khó nhằn,어려운 적,Inimigo difícil,ศัตรูที่แข็งแกร่ง,3,1,请谨慎挑选对手,請謹慎挑選對手,Please select your opponent wisely,Hãy chọn đối thủ của bạn cẩn thận.,신중하게 상대를 선택하세요.,Escolha seu oponente com cuidado.,เลือกคู่ต่อสู้ของคุณอย่างระมัดระวัง,3,1,0.6,{},<>,<>,1,0,0,{},{}
229,39,,,city/adventure/random_tower/icon/img_jddr@.png,100,1,简单的敌人,簡單的敵人,Simple enemy,Kẻ địch dễ,쉬운 적,Inimigo fácil,ศัตรูง่าย,1,1,似乎是可以轻松击败的对手,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,Dường như là một đối thủ dễ dàng đánh bại.,쉽게 쓰러트릴 수 있는 상대 같습니다.,Parece ser um oponente facilmente derrotável.,ดูเหมือนจะเป็นคู่ต่อสู้ที่เอาชนะได้ง่าย,1,1,1,{},<>,<>,1,0,0,{},{}
230,39,,,city/adventure/random_tower/icon/img_jddr@.png,100,1,简单的敌人,簡單的敵人,Simple enemy,Kẻ địch dễ,쉬운 적,Inimigo fácil,ศัตรูง่าย,1,1,似乎是可以轻松击败的对手,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,Dường như là một đối thủ dễ dàng đánh bại.,쉽게 쓰러트릴 수 있는 상대 같습니다.,Parece ser um oponente facilmente derrotado.,ดูเหมือนจะเป็นฝ่ายตรงข้ามที่เอาชนะได้ง่าย,1,1,1,{},<>,<>,1,0,0,{},{}
231,39,,,city/adventure/random_tower/icon/img_ptdr@.png,100,1,普通的敌人,普通的敵人,Ordinary Enemy,Kẻ địch thông thường,평범한 적,Inimigo comum,ศัตรูทั่วไป,2,1,小有实力，但是不足为惧的对手,小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of","Một đối thủ có chút sức mạnh, nhưng không đáng sợ.",조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,"Um rival com alguma força, mas não a ser temido.",คู่ต่อสู้ที่มีพลังบ้าง แต่ไม่น่ากลัว,2,1,1,{},<>,<>,1,0,0,{},{}
232,39,,,city/adventure/random_tower/icon/img_ptdr@.png,100,1,普通的敌人,普通的敵人,Ordinary Enemy,Kẻ địch thông thường,평범한 적,Inimigo comum,ศัตรูทั่วไป,2,1,小有实力，但是不足为惧的对手,小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of","Một đối thủ tương đối yếu, không đáng sợ.",조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,"Um oponente relativamente fraco, não a ser temido.",คู่ต่อสู้ที่ค่อนข้างอ่อนแอ ไม่น่ากลัว,2,1,1,{},<>,<>,1,0,0,{},{}
233,39,,,city/adventure/random_tower/icon/img_kndr@.png,100,1,困难的敌人,困難的敵人,Difficult enemy,Kẻ địch khó nhằn,어려운 적,Inimigo difícil,ศัตรูที่แข็งแกร่ง,3,1,请谨慎挑选对手,請謹慎挑選對手,Please select your opponent wisely,Hãy chọn đối thủ của bạn một cách thận trọng.,신중하게 상대를 선택하세요.,Escolha seu oponente com cuidado.,เลือกคู่ต่อสู้ของคุณอย่างระมัดระวัง,3,1,1,{},<>,<>,1,0,0,{},{}
234,39,,,city/adventure/random_tower/icon/img_kndr@.png,100,1,困难的敌人,困難的敵人,Difficult enemy,Kẻ địch khó nhằn,어려운 적,Inimigo difícil,ศัตรูที่แข็งแกร่ง,3,1,请谨慎挑选对手,請謹慎挑選對手,Please select your opponent wisely,Hãy chọn đối thủ cẩn thận.,신중하게 상대를 선택하세요.,Escolha seu oponente com cuidado.,เลือกคู่ต่อสู้ของคุณอย่างระมัดระวัง,3,1,1,{},<>,<>,1,0,0,{},{}
235,40,,,city/adventure/random_tower/icon/icon_wz.png,100,1,战斗补给,戰鬥補給,Combat supplies,Tiếp tế chiến đấu,전투 보급,Suprimento de batalha,เสบียงการต่อสู้,1,2,,,,,,,,1,1,1,{},<<5;100>>,<>,1,0,0,{},{}
236,40,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<2;100>>,<>,1,0,0,{},{}
237,40,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<2;100>>,<>,1,0,0,{},{}
238,40,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<3;100>>,<>,1,0,0,{},{}
239,40,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<3;100>>,<>,1,0,0,{},{}
240,40,,,city/adventure/random_tower/icon/icon_sj.png,100,1,事件,事件,Event,Event,사건,Event,Event,1,4,你的选择也许会带来幸运，也可能会招致灾祸,你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.","Sua escolha pode trazer sorte, ou pode atrair desastres.",การเลือกของคุณอาจนำโชคลาภมาให้ หรืออาจก่อให้เกิดภัยพิบัติ,1,1,1,{},<>,<<2;100>;<3;10>>,1,0,0,{},{}
241,41,,,city/adventure/random_tower/icon/img_boss@.png,100,1,霸主,霸主,Overlord,Bá chủ,패왕,Senhor Supremo,เจ้าแห่งสงคราม,4,1,极为艰难的力量在前方,極為艱難的力量在前方,Extremely tough power ahead,Những thế lực vô cùng khó khăn đang ở phía trước.,강력한 힘이 앞에서 느껴집니다.,Forças extremamente difíceis estão à frente.,กำลังที่ยากลำบากอย่างยิ่งอยู่เบื้องหน้า,4,0.8,0.8,{},<>,<>,1,0,0,{},{}
242,41,,,city/adventure/random_tower/icon/img_boss@.png,100,1,霸主,霸主,Overlord,Bá chủ,패왕,Senhor Supremo,เจ้าแห่งสงคราม,4,1,最为艰难的力量在前方,最為艱難的力量在前方,Toughest power ahead,Sức mạnh khó khăn nhất nằm ở phía trước.,매우 강력한 힘이 앞에서 느껴집니다.,O poder mais difícil está à frente.,พลังที่ยากลำบากที่สุดอยู่ข้างหน้า,4,1,1,{},<>,<>,1,0,0,{},{}
243,42,,,city/adventure/random_tower/icon_hhbx.png,100,1,豪华宝箱,豪華寶箱,Deluxe chest,Rương Sang Trọng,호화로운 보물상자,Baú Luxuoso,หีบสมบัติหรูหรา,1,3,跨越巨大挑战后才会配拥有此回报,跨越巨大挑戰後才會配擁有此回報,Trainers who have overcome the huge challenge deserve to claim the reward,Chỉ sau khi vượt qua những thử thách lớn lao mới xứng đáng nhận được phần thưởng này.,거대한 도전을 끝내야만 보답을 얻을 수 있습니다.,Somente após superar grandes desafios se merece esta recompensa.,เพียงผู้ที่เอาชนะความท้าทายครั้งใหญ่จึงสมควรได้รับรางวัลนี้,1,1,1,{},<>,<>,2,70000,300,{libs=<503;504>},{libs=<506;505>}
244,43,,,,100,1,,,,,,,,1,0,,,,,,,,1,1,1,{},<>,<>,1,0,0,{},{}
245,44,,,city/adventure/random_tower/icon/icon_wz.png,100,1,战斗加成,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,Bônus de batalha,โบนัสการต่อสู้,1,2,,,,,,,,1,1,1,{},<<200;150>;<1000;90>>,<>,1,0,0,{},{}
246,44,,,city/adventure/random_tower/icon/icon_wz.png,100,1,战斗加成,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,Bônus de batalha,โบนัสการต่อสู้,1,2,,,,,,,,1,1,1,{},<<200;150>;<1000;90>>,<>,1,0,0,{},{}
247,44,,,city/adventure/random_tower/icon/icon_wz.png,100,1,战斗加成,戰鬥加成,Battle buff,Chiến đấu tăng thêm,전투 보너스,Bônus de batalha,โบนัสการต่อสู้,1,2,,,,,,,,1,1,1,{},<<2223;100>;<2224;100>;<200;150>;<1000;90>>,<>,1,0,0,{},{}
248,45,,,city/adventure/random_tower/icon/img_jddr@.png,100,1,简单的敌人,簡單的敵人,Simple enemy,Kẻ địch dễ,쉬운 적,Inimigo fácil,ศัตรูง่าย,1,1,似乎是可以轻松击败的对手,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,Dường như là một đối thủ dễ dàng đánh bại.,쉽게 쓰러트릴 수 있는 상대 같습니다.,Parece ser um oponente facilmente derrotável.,ดูเหมือนจะเป็นคู่ต่อสู้ที่เอาชนะได้ง่าย,1,1,1,{},<>,<>,1,0,0,{},{}
249,45,,,city/adventure/random_tower/icon/img_jddr@.png,100,1,简单的敌人,簡單的敵人,Simple enemy,Kẻ địch dễ,쉬운 적,Inimigo fácil,ศัตรูง่าย,1,1,似乎是可以轻松击败的对手,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,Dường như là một đối thủ dễ dàng đánh bại.,쉽게 쓰러트릴 수 있는 상대 같습니다.,Parece um oponente facilmente derrotável.,ดูเหมือนจะเป็นคู่ต่อสู้ที่เอาชนะได้ง่าย,1,1,1,{},<>,<>,1,0,0,{},{}
250,45,,,city/adventure/random_tower/icon/img_ptdr@.png,100,1,普通的敌人,普通的敵人,Ordinary Enemy,Kẻ địch thông thường,평범한 적,Inimigo comum,ศัตรูทั่วไป,2,1,小有实力，但是不足为惧的对手,小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of","Một đối thủ khá yếu, không đáng sợ.",조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,"Um oponente relativamente fraco, nada a temer.",คู่ต่อสู้ที่ค่อนข้างอ่อนแอ ไม่น่ากลัว,2,1,1,{},<>,<>,1,0,0,{},{}
251,45,,,city/adventure/random_tower/icon/img_ptdr@.png,100,1,普通的敌人,普通的敵人,Ordinary Enemy,Kẻ địch thông thường,평범한 적,Inimigo comum,ศัตรูทั่วไป,2,1,小有实力，但是不足为惧的对手,小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of","Một đối thủ có khả năng nhất định, nhưng không đáng sợ.",조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,"Um oponente com alguma habilidade, mas não temível.",คู่ต่อสู้ที่มีความสามารถอยู่บ้าง แต่ไม่น่ากลัว,2,1,1,{},<>,<>,1,0,0,{},{}
252,45,,,city/adventure/random_tower/icon/img_kndr@.png,100,1,困难的敌人,困難的敵人,Difficult enemy,Kẻ địch khó nhằn,어려운 적,Inimigo difícil,ศัตรูที่แข็งแกร่ง,3,1,请谨慎挑选对手,請謹慎挑選對手,Please select your opponent wisely,Hãy lựa chọn đối thủ của bạn một cách thận trọng.,신중하게 상대를 선택하세요.,Escolha seu oponente com cuidado.,เลือกคู่ต่อสู้ของคุณอย่างระมัดระวัง,3,1,1,{},<>,<>,1,0,0,{},{}
253,45,,,city/adventure/random_tower/icon/img_kndr@.png,100,1,困难的敌人,困難的敵人,Difficult enemy,Kẻ địch khó nhằn,어려운 적,Inimigo difícil,ศัตรูที่แข็งแกร่ง,3,1,请谨慎挑选对手,請謹慎挑選對手,Please select your opponent wisely,Hãy chọn đối thủ của bạn một cách thận trọng.,신중하게 상대를 선택하세요.,Escolha seu oponente com cuidado.,เลือกคู่ต่อสู้ของคุณอย่างรอบคอบ,3,1,1,{},<>,<>,1,0,0,{},{}
254,46,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>>,<>,1,0,0,{},{}
255,46,,,city/adventure/random_tower/icon/icon_wz.png,100,1,战斗补给,戰鬥補給,Combat supplies,Tiếp tế chiến đấu,전투 보급,Suprimento de batalha,เสบียงการต่อสู้,1,2,,,,,,,,1,1,1,{},<<5;100>>,<>,1,0,0,{},{}
256,46,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>;<2;20>>,<>,1,0,0,{},{}
257,46,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>;<2;20>>,<>,1,0,0,{},{}
258,46,,,city/adventure/random_tower/icon/icon_sj.png,0,1,事件,事件,Event,Event,사건,Event,Event,1,4,谁也不知道会发生什么,誰也不知道會發生什麼,Nobody knows what may happen next,Không ai biết điều gì sẽ xảy ra.,무슨 일이 일어날지 아무도 모릅니다.,Ninguém sabe o que vai acontecer.,ไม่มีใครรู้ว่าอะไรจะเกิดขึ้น,1,1,1,{},<>,<<1;100>;<2;10>>,1,0,0,{},{}
259,46,,,city/adventure/random_tower/icon/icon_sj.png,0,1,事件,事件,Event,Event,사건,Event,Event,1,4,你的选择也许会带来幸运，也可能会招致灾祸,你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.","Sua escolha pode trazer boa sorte, ou pode atrair o desastre.",การเลือกของคุณอาจนำโชคลาภมาให้ หรืออาจนำความหายนะมาสู่คุณ,1,1,1,{},<>,<<2;100>;<3;10>>,1,0,0,{},{}
260,46,,,city/adventure/random_tower/icon_bx.png,100,1,宝箱,寶箱,Chest,Bảo rương,보물상자,Baú do tesouro,หีบสมบัติ,1,3,不经意间发现的宝箱,不經意間發現的寶箱,Surprise Chest,Chiếc rương báu được tìm thấy tình cờ,갑자기 보물상자를 발견했습니다.,Um baú do tesouro encontrado por acaso,หีบสมบัติที่พบโดยบังเอิญ,1,1,1,{},<>,<>,1,18000,30,{libs=<504;504>},{}
261,46,,,city/adventure/random_tower/icon/img_jddr@.png,100,1,简单的敌人,簡單的敵人,Simple enemy,Kẻ địch dễ,쉬운 적,Inimigo fácil,ศัตรูง่าย,1,1,似乎是可以轻松击败的对手,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,Dường như là một đối thủ dễ dàng đánh bại.,쉽게 쓰러트릴 수 있는 상대 같습니다.,Parece ser um oponente facilmente derrotado.,ดูเหมือนจะเป็นฝ่ายตรงข้ามที่เอาชนะได้ง่าย,1,1,0.6,{},<>,<>,1,0,0,{},{}
262,46,,,city/adventure/random_tower/icon/img_ptdr@.png,100,1,普通的敌人,普通的敵人,Ordinary Enemy,Kẻ địch thông thường,평범한 적,Inimigo comum,ศัตรูทั่วไป,2,1,小有实力，但是不足为惧的对手,小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of","Một đối thủ khá yếu, không đáng sợ.",조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,"Um oponente relativamente fraco, não a ser temido.",คู่ต่อสู้ที่ค่อนข้างอ่อนแอ ไม่ต้องกลัว,2,1,0.6,{},<>,<>,1,0,0,{},{}
263,46,,,city/adventure/random_tower/icon/img_kndr@.png,100,1,困难的敌人,困難的敵人,Difficult enemy,Kẻ địch khó nhằn,어려운 적,Inimigo difícil,ศัตรูที่แข็งแกร่ง,3,1,请谨慎挑选对手,請謹慎挑選對手,Please select your opponent wisely,Hãy chọn đối thủ của bạn cẩn thận.,신중하게 상대를 선택하세요.,Escolha seu oponente com cuidado.,เลือกคู่ต่อสู้ของคุณอย่างระมัดระวัง,3,1,0.6,{},<>,<>,1,0,0,{},{}
264,47,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>>,<>,1,0,0,{},{}
265,47,,,city/adventure/random_tower/icon/icon_wz.png,100,1,战斗补给,戰鬥補給,Combat supplies,Tiếp tế chiến đấu,전투 보급,Suprimento de batalha,เสบียงการต่อสู้,1,2,,,,,,,,1,1,1,{},<<5;100>>,<>,1,0,0,{},{}
266,47,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>;<2;20>>,<>,1,0,0,{},{}
267,47,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>;<2;20>>,<>,1,0,0,{},{}
268,47,,,city/adventure/random_tower/icon/icon_sj.png,100,1,事件,事件,Event,Event,사건,Event,Event,1,4,谁也不知道会发生什么,誰也不知道會發生什麼,Nobody knows what may happen next,Không ai biết chuyện gì sẽ xảy ra.,무슨 일이 일어날지 아무도 모릅니다.,Ninguém sabe o que vai acontecer.,ไม่มีใครรู้ว่าอะไรจะเกิดขึ้น,1,1,1,{},<>,<<1;100>;<2;10>>,1,0,0,{},{}
269,47,,,city/adventure/random_tower/icon/icon_sj.png,0,1,事件,事件,Event,Event,사건,Event,Event,1,4,你的选择也许会带来幸运，也可能会招致灾祸,你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.","Sua escolha pode trazer sorte, ou pode trazer desastre.",การเลือกของคุณอาจนำโชคลาภมาให้ หรืออาจนำความหายนะมาสู่คุณก็ได้,1,1,1,{},<>,<<2;100>;<3;10>>,1,0,0,{},{}
270,47,,,city/adventure/random_tower/icon_bx.png,100,1,宝箱,寶箱,Chest,Bảo rương,보물상자,Baú do tesouro,หีบสมบัติ,1,3,不经意间发现的宝箱,不經意間發現的寶箱,Surprise Chest,Chiếc rương báu được tìm thấy tình cờ,갑자기 보물상자를 발견했습니다.,Um baú do tesouro encontrado por acaso,หีบสมบัติที่พบโดยบังเอิญ,1,1,1,{},<>,<>,1,18000,30,{libs=<504;504>},{}
271,47,,,city/adventure/random_tower/icon/img_jddr@.png,100,1,简单的敌人,簡單的敵人,Simple enemy,Kẻ địch dễ,쉬운 적,Inimigo fácil,ศัตรูง่าย,1,1,似乎是可以轻松击败的对手,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,Dường như là một đối thủ dễ dàng đánh bại.,쉽게 쓰러트릴 수 있는 상대 같습니다.,Parece ser um oponente facilmente derrotado.,ดูเหมือนจะเป็นฝ่ายตรงข้ามที่เอาชนะได้ง่าย,1,1,0.6,{},<>,<>,1,0,0,{},{}
272,47,,,city/adventure/random_tower/icon/img_ptdr@.png,-1,1,普通的敌人,普通的敵人,Ordinary Enemy,Kẻ địch thông thường,평범한 적,Inimigo comum,ศัตรูทั่วไป,2,1,小有实力，但是不足为惧的对手,小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of","Một đối thủ khá yếu, không đáng sợ.",조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,"Um oponente relativamente fraco, nada a temer.",คู่ต่อสู้ที่ค่อนข้างอ่อนแอ ไม่ต้องกลัว,2,1,0.6,{},<>,<>,1,0,0,{},{}
273,47,,,city/adventure/random_tower/icon/img_kndr@.png,100,1,困难的敌人,困難的敵人,Difficult enemy,Kẻ địch khó nhằn,어려운 적,Inimigo difícil,ศัตรูที่แข็งแกร่ง,3,1,请谨慎挑选对手,請謹慎挑選對手,Please select your opponent wisely,Hãy chọn đối thủ của bạn một cách thận trọng.,신중하게 상대를 선택하세요.,Escolha seu oponente com cuidado.,เลือกคู่ต่อสู้ของคุณอย่างระมัดระวัง,3,1,0.6,{},<>,<>,1,0,0,{},{}
274,48,,,city/adventure/random_tower/icon/icon_wz.png,-1,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>>,<>,1,0,0,{},{}
275,48,,,city/adventure/random_tower/icon/icon_wz.png,-1,1,战斗补给,戰鬥補給,Combat supplies,Tiếp tế chiến đấu,전투 보급,Suprimento de batalha,เสบียงการต่อสู้,1,2,,,,,,,,1,1,1,{},<<5;100>>,<>,1,0,0,{},{}
276,48,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>;<2;50>>,<>,1,0,0,{},{}
277,48,,,city/adventure/random_tower/icon/icon_wz.png,0,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>;<2;20>>,<>,1,0,0,{},{}
278,48,,,city/adventure/random_tower/icon/icon_sj.png,0,1,事件,事件,Event,Event,사건,Event,Event,1,4,谁也不知道会发生什么,誰也不知道會發生什麼,Nobody knows what may happen next,Không ai biết chuyện gì sẽ xảy ra.,무슨 일이 일어날지 아무도 모릅니다.,Ninguém sabe o que vai acontecer.,ไม่มีใครรู้ว่าอะไรจะเกิดขึ้น,1,1,1,{},<>,<<1;100>;<2;10>>,1,0,0,{},{}
279,48,,,city/adventure/random_tower/icon/icon_sj.png,0,1,事件,事件,Event,Event,사건,Event,Event,1,4,你的选择也许会带来幸运，也可能会招致灾祸,你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.","Sua escolha pode trazer sorte, ou pode atrair desastres.",การเลือกของคุณอาจนำโชคลาภมาให้ หรืออาจนำความหายนะมาสู่คุณก็ได้,1,1,1,{},<>,<<2;100>;<3;10>>,1,0,0,{},{}
280,48,,,city/adventure/random_tower/icon_bx.png,100,1,宝箱,寶箱,Chest,Bảo rương,보물상자,Baú do tesouro,หีบสมบัติ,1,3,不经意间发现的宝箱,不經意間發現的寶箱,Surprise Chest,Chiếc rương báu được tìm thấy tình cờ,갑자기 보물상자를 발견했습니다.,Um baú do tesouro encontrado por acaso,หีบสมบัติที่พบโดยบังเอิญ,1,1,1,{},<>,<>,1,18000,30,{libs=<504;504>},{}
281,48,,,city/adventure/random_tower/icon/img_jddr@.png,100,1,简单的敌人,簡單的敵人,Simple enemy,Kẻ địch dễ,쉬운 적,Inimigo fácil,ศัตรูง่าย,1,1,似乎是可以轻松击败的对手,似乎是可以輕鬆擊敗的對手,Seems to be an easy opponent to beat,Dường như là một đối thủ dễ dàng đánh bại.,쉽게 쓰러트릴 수 있는 상대 같습니다.,Parece ser um oponente facilmente derrotado.,ดูเหมือนจะเป็นฝ่ายตรงข้ามที่เอาชนะได้ง่าย,1,1,0.6,{},<>,<>,1,0,0,{},{}
282,48,,,city/adventure/random_tower/icon/img_ptdr@.png,100,1,普通的敌人,普通的敵人,Ordinary Enemy,Kẻ địch thông thường,평범한 적,Inimigo comum,ศัตรูทั่วไป,2,1,小有实力，但是不足为惧的对手,小有實力，但是不足為懼的對手,"An opponent of decent strength, but not to be feared of","Một đối thủ có khả năng nhất định, nhưng không đáng sợ.",조금 실력이 있지만 걱정할 필요는 없는 상대입니다.,"Um oponente com alguma capacidade, mas não temível.",คู่ต่อสู้ที่มีความสามารถพอสมควร แต่ไม่น่ากลัว,2,1,0.6,{},<>,<>,1,0,0,{},{}
283,48,,,city/adventure/random_tower/icon/img_kndr@.png,100,1,困难的敌人,困難的敵人,Difficult enemy,Kẻ địch khó nhằn,어려운 적,Inimigo difícil,ศัตรูที่แข็งแกร่ง,3,1,请谨慎挑选对手,請謹慎挑選對手,Please select your opponent wisely,Hãy lựa chọn đối thủ cẩn thận.,신중하게 상대를 선택하세요.,Escolha seu oponente com cuidado.,เลือกคู่ต่อสู้ของคุณอย่างระมัดระวัง,3,1,0.6,{},<>,<>,1,0,0,{},{}
284,49,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>>,<>,1,0,0,{},{}
285,49,,,city/adventure/random_tower/icon/icon_wz.png,100,1,战斗补给,戰鬥補給,Combat supplies,Tiếp tế chiến đấu,전투 보급,Suprimento de batalha,เสบียงการต่อสู้,1,2,,,,,,,,1,1,1,{},<<5;100>>,<>,1,0,0,{},{}
286,49,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>;<2;20>>,<>,1,0,0,{},{}
287,49,,,city/adventure/random_tower/icon/icon_wz.png,100,1,属性加成,屬性加成,Stats boost,Thuộc tính tăng thêm,타입 보너스,Bônus de atributo,โบนัสค่าสถานะ,1,2,,,,,,,,1,1,1,{},<<1;100>;<2;20>>,<>,1,0,0,{},{}
288,49,,,city/adventure/random_tower/icon/icon_sj.png,-1,1,事件,事件,Event,Event,사건,Event,Event,1,4,谁也不知道会发生什么,誰也不知道會發生什麼,Nobody knows what may happen next,Không ai biết điều gì sẽ xảy ra.,무슨 일이 일어날지 아무도 모릅니다.,Ninguém sabe o que vai acontecer.,ไม่มีใครรู้ว่าอะไรจะเกิดขึ้น,1,1,1,{},<>,<<1;100>;<2;10>>,1,0,0,{},{}
289,49,,,city/adventure/random_tower/icon/icon_sj.png,-1,1,事件,事件,Event,Event,사건,Event,Event,1,4,你的选择也许会带来幸运，也可能会招致灾祸,你的選擇也許會帶來幸運，也可能會招致災禍,"Your choice may bring fortune, or catastrophe","Lựa chọn của bạn có thể mang lại hạnh phúc, cũng có thể gây ra thảm hoạ","당신의 선택은 어쩌면 행운을 가져오거나, 재앙을 초래할지도 모릅니다.","Sua escolha pode trazer sorte, ou pode atrair desastres.",การเลือกของคุณอาจนำโชคลาภมาให้ หรืออาจนำความหายนะมาสู่คุณก็ได้,1,1,1,{},<>,<<2;100>;<3;10>>,1,0,0,{},{}
290,49,,,city/adventure/random_tower/icon_bx.png,100,1,宝箱,寶箱,Chest,Bảo rương,보물상자,Baú do tesouro,หีบสมบัติ,1,3,不经意间发现的宝箱,不經意間發現的寶箱,Surprise Chest,Chiếc rương báu được tìm thấy tình cờ,갑자기 보물상자를 발견했습니다.,Um baú do tesouro encontrado por acaso,หีบสมบัติที่พบโดยบังเอิญ,1,1,1,{},<>,<>,1,18000,30,{libs=<504;504>},{}
